job_id,domain,dataset,family,runner_status,runner_complete,status_payload,windows_requested,windows_run,series_requested,series_run,raw_exists_after_slug_rebind,history_exists_after_slug_rebind,original_paths_are_windows_absolute,exact_model,exact_q9,exact_family_contract,contract_ready,outcome_valid,balanced_analysis_ready,category,detail,local_raw_path,local_history_path
external_v1_chronos_m4_yearly_a_short,Econ/Fin,m4_yearly/A/short,chronos,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_m4_yearly_a_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_m4_yearly_a_short_history_context.csv
external_v1_moirai_m4_yearly_a_short,Econ/Fin,m4_yearly/A/short,moirai,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_m4_yearly_a_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_m4_yearly_a_short_history_context.csv
external_v1_timesfm_m4_yearly_a_short,Econ/Fin,m4_yearly/A/short,timesfm,failed_artifact_contract,0,blocked_no_rows,16,0,16,0,0,0,0,1,0,1,0,0,0,timesfm_nonfinite,completed,,
external_v1_chronos_m4_monthly_m_short,Econ/Fin,m4_monthly/M/short,chronos,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_m4_monthly_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_m4_monthly_m_short_history_context.csv
external_v1_moirai_m4_monthly_m_short,Econ/Fin,m4_monthly/M/short,moirai,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_m4_monthly_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_m4_monthly_m_short_history_context.csv
external_v1_timesfm_m4_monthly_m_short,Econ/Fin,m4_monthly/M/short,timesfm,ok,1,ok,16,8,16,16,1,1,1,1,0,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_timesfm_m4_monthly_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_timesfm_m4_monthly_m_short_history_context.csv
external_v1_chronos_ett1_w_short,Energy,ett1/W/short,chronos,ok,1,ok,16,7,16,7,1,1,1,1,1,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_ett1_w_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_ett1_w_short_history_context.csv
external_v1_moirai_ett1_w_short,Energy,ett1/W/short,moirai,ok,1,ok,16,7,16,7,1,1,1,1,1,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_ett1_w_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_ett1_w_short_history_context.csv
external_v1_timesfm_ett1_w_short,Energy,ett1/W/short,timesfm,failed_artifact_contract,0,blocked_no_rows,16,0,16,0,0,0,0,1,0,1,0,0,0,timesfm_nonfinite,completed,,
external_v1_chronos_electricity_15t_short,Energy,electricity/15T/short,chronos,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_14400_seconds,,
external_v1_moirai_electricity_15t_short,Energy,electricity/15T/short,moirai,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,0,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_timesfm_electricity_15t_short,Energy,electricity/15T/short,timesfm,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_chronos_hospital_m_short,Healthcare,hospital/M/short,chronos,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_hospital_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_hospital_m_short_history_context.csv
external_v1_moirai_hospital_m_short,Healthcare,hospital/M/short,moirai,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_hospital_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_hospital_m_short_history_context.csv
external_v1_timesfm_hospital_m_short,Healthcare,hospital/M/short,timesfm,failed_artifact_contract,0,blocked_no_rows,16,0,16,0,0,0,0,1,0,1,0,0,0,timesfm_nonfinite,completed,,
