job_id,family,dataset,status,started_at,finished_at,elapsed_seconds,exit_code,available_ram_gb,swap_fraction,disk_free_gb,log_path,detail
external_v1_chronos_bitbrains_fast_storage_5t_short,chronos,bitbrains_fast_storage/5T/short,ok,1784505645,1784517963,12318,0,7.524,0.7138663175751566,181.357,results\aaai_stress\external_logs\external_v1_chronos_bitbrains_fast_storage_5t_short.log,completed
external_v1_chronos_bizitobs_l2c_5t_medium,chronos,bizitobs_l2c/5T/medium,ok,1784502179,1784505644,3465,0,7.371,0.715674163613407,181.357,results\aaai_stress\external_logs\external_v1_chronos_bizitobs_l2c_5t_medium.log,completed
external_v1_chronos_car_parts_m_short,chronos,car_parts/M/short,failed_artifact_contract,1784453373,1784453470,97,1,7.988,0.7253142017242848,181.6,results\aaai_stress\external_logs\external_v1_chronos_car_parts_m_short.log,completed
external_v1_chronos_electricity_15t_short,chronos,electricity/15T/short,ok,1784395426,1784423268,27842,0,7.722,0.6454638760002169,181.714,results\aaai_stress\external_logs\external_v1_chronos_electricity_15t_short.log,completed
external_v1_chronos_ett1_w_short,chronos,ett1/W/short,ok,1784395393,1784395426,33,0,7.717,0.64534632872956,181.714,results\aaai_stress\external_logs\external_v1_chronos_ett1_w_short.log,completed
external_v1_chronos_hospital_m_short,chronos,hospital/M/short,ok,1783836954,1783837030,76,0,10.754,0.7662693881561424,190.629,results\aaai_stress\external_logs\external_v1_chronos_hospital_m_short.log,completed
external_v1_chronos_kdd_cup_2018_h_medium,chronos,kdd_cup_2018/H/medium,ok,1784423341,1784448351,25010,0,8.061,0.631192339868471,181.621,results\aaai_stress\external_logs\external_v1_chronos_kdd_cup_2018_h_medium.log,completed
external_v1_chronos_m4_monthly_m_short,chronos,m4_monthly/M/short,ok,1783828955,1783829590,635,0,8.94,0.7706592371790654,190.713,results\aaai_stress\external_logs\external_v1_chronos_m4_monthly_m_short.log,completed
external_v1_chronos_m4_yearly_a_short,chronos,m4_yearly/A/short,ok,1783828877,1783828955,78,0,10.331,0.7519718345746874,190.714,results\aaai_stress\external_logs\external_v1_chronos_m4_yearly_a_short.log,completed
external_v1_chronos_m_dense_h_short,chronos,m_dense/H/short,ok,1784453471,1784482263,28792,0,8.072,0.7183412472791777,181.6,results\aaai_stress\external_logs\external_v1_chronos_m_dense_h_short.log,completed
external_v1_chronos_restaurant_d_short,chronos,restaurant/D/short,ok,1783856164,1783857131,967,0,10.275,0.5334513919657193,190.567,results\aaai_stress\external_logs\external_v1_chronos_restaurant_d_short.log,completed
external_v1_chronos_sz_taxi_15t_short,chronos,sz_taxi/15T/short,ok,1784482263,1784502178,19915,0,6.381,0.7159642555597728,181.359,results\aaai_stress\external_logs\external_v1_chronos_sz_taxi_15t_short.log,completed
external_v1_chronos_temperature_rain_d_short,chronos,temperature_rain/D/short,ok,1784448351,1784453373,5022,0,5.345,0.7116647753239812,181.607,results\aaai_stress\external_logs\external_v1_chronos_temperature_rain_d_short.log,completed
external_v1_chronos_us_births_m_short,chronos,us_births/M/short,ok,1784423268,1784423341,73,0,8.027,0.6329868238611277,181.621,results\aaai_stress\external_logs\external_v1_chronos_us_births_m_short.log,completed
external_v1_moirai_bitbrains_fast_storage_5t_short,moirai,bitbrains_fast_storage/5T/short,ok,1784607931,1784617700,9769,0,5.799,0.6855907767027893,181.025,results\aaai_stress\external_logs\external_v1_moirai_bitbrains_fast_storage_5t_short.log,completed
external_v1_moirai_bizitobs_l2c_5t_medium,moirai,bizitobs_l2c/5T/medium,ok,1784605097,1784607903,2806,0,6.356,0.6705643818214211,181.025,results\aaai_stress\external_logs\external_v1_moirai_bizitobs_l2c_5t_medium.log,completed
external_v1_moirai_car_parts_m_short,moirai,car_parts/M/short,failed_artifact_contract,1784567022,1784567085,63,0,7.667,0.6810656909145836,181.168,results\aaai_stress\external_logs\external_v1_moirai_car_parts_m_short.log,completed
external_v1_moirai_electricity_15t_short,moirai,electricity/15T/short,ok,1784518075,1784542300,24225,0,5.626,0.7179012680387615,181.353,results\aaai_stress\external_logs\external_v1_moirai_electricity_15t_short.log,completed
external_v1_moirai_ett1_w_short,moirai,ett1/W/short,ok,1784517998,1784518074,76,0,5.709,0.7168775223281718,181.353,results\aaai_stress\external_logs\external_v1_moirai_ett1_w_short.log,completed
external_v1_moirai_hospital_m_short,moirai,hospital/M/short,ok,1783883130,1783883170,40,0,11.842,0.5759595571123987,190.558,results\aaai_stress\external_logs\external_v1_moirai_hospital_m_short.log,completed
external_v1_moirai_kdd_cup_2018_h_medium,moirai,kdd_cup_2018/H/medium,ok,1784547484,1784566998,19514,0,8.416,0.6202584103426106,181.261,results\aaai_stress\external_logs\external_v1_moirai_kdd_cup_2018_h_medium.log,completed
external_v1_moirai_m4_monthly_m_short,moirai,m4_monthly/M/short,ok,1783882572,1783883090,518,0,12.311,0.5694692347611884,190.56,results\aaai_stress\external_logs\external_v1_moirai_m4_monthly_m_short.log,completed
external_v1_moirai_m4_yearly_a_short,moirai,m4_yearly/A/short,ok,1783882482,1783882566,84,0,12.373,0.5694756506591235,190.561,results\aaai_stress\external_logs\external_v1_moirai_m4_yearly_a_short.log,completed
external_v1_moirai_m_dense_h_short,moirai,m_dense/H/short,ok,1784567098,1784589868,22770,0,7.744,0.6828148601439228,181.167,results\aaai_stress\external_logs\external_v1_moirai_m_dense_h_short.log,completed
external_v1_moirai_restaurant_d_short,moirai,restaurant/D/short,ok,1783887244,1783888366,1122,0,11.362,0.5776299819676606,190.313,results\aaai_stress\external_logs\external_v1_moirai_restaurant_d_short.log,completed
external_v1_moirai_sz_taxi_15t_short,moirai,sz_taxi/15T/short,ok,1784589897,1784605085,15188,0,7.052,0.6649974437825821,181.027,results\aaai_stress\external_logs\external_v1_moirai_sz_taxi_15t_short.log,completed
