job_id,family,dataset,status,started_at,finished_at,elapsed_seconds,exit_code,available_ram_gb,swap_fraction,disk_free_gb,log_path,detail
external_v1_chronos_bitbrains_fast_storage_5t_short,chronos,bitbrains_fast_storage/5T/short,dry_run_ready,,,,,6.408,0.7237786375895728,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name bitbrains_fast_storage --data-path data/gift-eval/bitbrains_fast_storage/5T --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Web/CloudOps --regime external_locked --output-slug external_v1_chronos_bitbrains_fast_storage_5t_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_bizitobs_l2c_5t_medium,chronos,bizitobs_l2c/5T/medium,dry_run_ready,,,,,6.414,0.7240054854094232,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name bizitobs_l2c --data-path data/gift-eval/bizitobs_l2c/5T --term medium --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Web/CloudOps --regime external_locked --output-slug external_v1_chronos_bizitobs_l2c_5t_medium --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_car_parts_m_short,chronos,car_parts/M/short,dry_run_ready,,,,,6.444,0.7214460004117174,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name car_parts_with_missing --data-path data/gift-eval/car_parts_with_missing/M --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 12 --domain Sales --regime external_locked --output-slug external_v1_chronos_car_parts_m_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_electricity_15t_short,chronos,electricity/15T/short,dry_run_ready,,,,,6.55,0.7200349611444056,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name electricity --data-path data/gift-eval/electricity/15T --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Energy --regime external_locked --output-slug external_v1_chronos_electricity_15t_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_ett1_w_short,chronos,ett1/W/short,dry_run_ready,,,,,6.564,0.7207916704780155,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name ett1 --data-path data/gift-eval/ett1/W --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 8 --domain Energy --regime external_locked --output-slug external_v1_chronos_ett1_w_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_hospital_m_short,chronos,hospital/M/short,dry_run_ready,,,,,6.53,0.720399292491438,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name hospital --data-path data/gift-eval/hospital/M --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 12 --domain Healthcare --regime external_locked --output-slug external_v1_chronos_hospital_m_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_kdd_cup_2018_h_medium,chronos,kdd_cup_2018/H/medium,dry_run_ready,,,,,6.499,0.7205503410599686,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name kdd_cup_2018_with_missing --data-path data/gift-eval/kdd_cup_2018_with_missing/H --term medium --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Nature --regime external_locked --output-slug external_v1_chronos_kdd_cup_2018_h_medium --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_m4_monthly_m_short,chronos,m4_monthly/M/short,dry_run_ready,,,,,6.581,0.7199007772218758,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name m4_monthly --data-path data/gift-eval/m4_monthly/M --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 18 --domain Econ/Fin --regime external_locked --output-slug external_v1_chronos_m4_monthly_m_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_m4_yearly_a_short,chronos,m4_yearly/A/short,failed_artifact_contract,1783828712,1783828725,13,1,5.925,0.7340254681818207,190.721,results\aaai_stress\external_logs\external_v1_chronos_m4_yearly_a_short.log,completed
external_v1_chronos_m_dense_h_short,chronos,m_dense/H/short,dry_run_ready,,,,,6.413,0.7266740406720268,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name M_DENSE --data-path data/gift-eval/M_DENSE/H --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Transport --regime external_locked --output-slug external_v1_chronos_m_dense_h_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_restaurant_d_short,chronos,restaurant/D/short,dry_run_ready,,,,,6.47,0.7205876449236774,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name restaurant --data-path data/gift-eval/restaurant/D --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 30 --domain Sales --regime external_locked --output-slug external_v1_chronos_restaurant_d_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_sz_taxi_15t_short,chronos,sz_taxi/15T/short,dry_run_ready,,,,,6.341,0.7267327003102911,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name sz_taxi --data-path data/gift-eval/sz_taxi/15T --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Transport --regime external_locked --output-slug external_v1_chronos_sz_taxi_15t_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_temperature_rain_d_short,chronos,temperature_rain/D/short,dry_run_ready,,,,,6.483,0.7205411754914899,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name temperature_rain_with_missing --data-path data/gift-eval/temperature_rain_with_missing/D --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 30 --domain Nature --regime external_locked --output-slug external_v1_chronos_temperature_rain_d_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_chronos_us_births_m_short,chronos,us_births/M/short,dry_run_ready,,,,,6.514,0.7212734127572614,190.721,,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name us_births --data-path data/gift-eval/us_births/M --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 12 --domain Healthcare --regime external_locked --output-slug external_v1_chronos_us_births_m_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9"
external_v1_moirai_bitbrains_fast_storage_5t_short,moirai,bitbrains_fast_storage/5T/short,dry_run_ready,,,,,6.408,0.7238238238421734,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name bitbrains_fast_storage --data-path data/gift-eval/bitbrains_fast_storage/5T --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Web/CloudOps --regime external_locked --output-slug external_v1_moirai_bitbrains_fast_storage_5t_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_bizitobs_l2c_5t_medium,moirai,bizitobs_l2c/5T/medium,dry_run_ready,,,,,6.408,0.7245347053333893,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name bizitobs_l2c --data-path data/gift-eval/bizitobs_l2c/5T --term medium --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Web/CloudOps --regime external_locked --output-slug external_v1_moirai_bizitobs_l2c_5t_medium --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_car_parts_m_short,moirai,car_parts/M/short,dry_run_ready,,,,,6.445,0.7206568449656924,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name car_parts_with_missing --data-path data/gift-eval/car_parts_with_missing/M --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 12 --domain Sales --regime external_locked --output-slug external_v1_moirai_car_parts_m_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_electricity_15t_short,moirai,electricity/15T/short,dry_run_ready,,,,,6.545,0.7200942623724634,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name electricity --data-path data/gift-eval/electricity/15T --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Energy --regime external_locked --output-slug external_v1_moirai_electricity_15t_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_ett1_w_short,moirai,ett1/W/short,dry_run_ready,,,,,6.563,0.7200608997032005,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name ett1 --data-path data/gift-eval/ett1/W --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 8 --domain Energy --regime external_locked --output-slug external_v1_moirai_ett1_w_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_hospital_m_short,moirai,hospital/M/short,dry_run_ready,,,,,6.526,0.7204593269649742,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name hospital --data-path data/gift-eval/hospital/M --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 12 --domain Healthcare --regime external_locked --output-slug external_v1_moirai_hospital_m_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_kdd_cup_2018_h_medium,moirai,kdd_cup_2018/H/medium,dry_run_ready,,,,,6.49,0.7205870949895686,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name kdd_cup_2018_with_missing --data-path data/gift-eval/kdd_cup_2018_with_missing/H --term medium --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Nature --regime external_locked --output-slug external_v1_moirai_kdd_cup_2018_h_medium --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_m4_monthly_m_short,moirai,m4_monthly/M/short,dry_run_ready,,,,,6.578,0.7199314818762799,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name m4_monthly --data-path data/gift-eval/m4_monthly/M --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 18 --domain Econ/Fin --regime external_locked --output-slug external_v1_moirai_m4_monthly_m_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_m4_yearly_a_short,moirai,m4_yearly/A/short,dry_run_ready,,,,,6.595,0.7198623734899496,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name m4_yearly --data-path data/gift-eval/m4_yearly/A --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 6 --domain Econ/Fin --regime external_locked --output-slug external_v1_moirai_m4_yearly_a_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_m_dense_h_short,moirai,m_dense/H/short,dry_run_ready,,,,,6.384,0.7267814611345984,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name M_DENSE --data-path data/gift-eval/M_DENSE/H --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Transport --regime external_locked --output-slug external_v1_moirai_m_dense_h_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_restaurant_d_short,moirai,restaurant/D/short,dry_run_ready,,,,,6.461,0.7207109218197173,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name restaurant --data-path data/gift-eval/restaurant/D --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 30 --domain Sales --regime external_locked --output-slug external_v1_moirai_restaurant_d_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_sz_taxi_15t_short,moirai,sz_taxi/15T/short,dry_run_ready,,,,,6.319,0.7267596470816189,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name sz_taxi --data-path data/gift-eval/sz_taxi/15T --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Transport --regime external_locked --output-slug external_v1_moirai_sz_taxi_15t_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_temperature_rain_d_short,moirai,temperature_rain/D/short,dry_run_ready,,,,,6.48,0.7205231193215866,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name temperature_rain_with_missing --data-path data/gift-eval/temperature_rain_with_missing/D --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 30 --domain Nature --regime external_locked --output-slug external_v1_moirai_temperature_rain_d_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
external_v1_moirai_us_births_m_short,moirai,us_births/M/short,dry_run_ready,,,,,6.509,0.7213190572882859,190.721,,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name us_births --data-path data/gift-eval/us_births/M --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 12 --domain Healthcare --regime external_locked --output-slug external_v1_moirai_us_births_m_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7
