job_id,family,category,queue_exit_code,artifact_status,status_path
external_v1_chronos_ett1_w_short,chronos,runner_complete_contract_mismatch,0,ok,results/raw_forecasts/external_v1_chronos_ett1_w_short_status.json
external_v1_chronos_electricity_15t_short,chronos,timeout,0,ok,results/raw_forecasts/external_v1_chronos_electricity_15t_short_status.json
external_v1_chronos_us_births_m_short,chronos,runner_complete_contract_mismatch,0,ok,results/raw_forecasts/external_v1_chronos_us_births_m_short_status.json
external_v1_chronos_kdd_cup_2018_h_medium,chronos,timeout,0,ok,results/raw_forecasts/external_v1_chronos_kdd_cup_2018_h_medium_status.json
external_v1_chronos_temperature_rain_d_short,chronos,outcome_invalid,0,ok,results/raw_forecasts/external_v1_chronos_temperature_rain_d_short_status.json
external_v1_chronos_car_parts_m_short,chronos,baseline_infeasible,0,missing,results/raw_forecasts/external_v1_chronos_car_parts_m_short_status.json
external_v1_chronos_m_dense_h_short,chronos,timeout,0,ok,results/raw_forecasts/external_v1_chronos_m_dense_h_short_status.json
external_v1_chronos_sz_taxi_15t_short,chronos,timeout,0,ok,results/raw_forecasts/external_v1_chronos_sz_taxi_15t_short_status.json
external_v1_chronos_bizitobs_l2c_5t_medium,chronos,runner_complete_contract_mismatch,0,ok,results/raw_forecasts/external_v1_chronos_bizitobs_l2c_5t_medium_status.json
external_v1_chronos_bitbrains_fast_storage_5t_short,chronos,timeout,0,ok,results/raw_forecasts/external_v1_chronos_bitbrains_fast_storage_5t_short_status.json
