job_id,family,dataset,status,started_at,finished_at,elapsed_seconds,exit_code,available_ram_gb,swap_fraction,disk_free_gb,log_path,detail
external_v1_chronos_bitbrains_fast_storage_5t_short,chronos,bitbrains_fast_storage/5T/short,failed_artifact_contract,1783875257,1783882461,7204,124,13.197,0.6276101018496301,190.561,results\aaai_stress\external_logs\external_v1_chronos_bitbrains_fast_storage_5t_short.log,timeout_after_7200_seconds
external_v1_chronos_bizitobs_l2c_5t_medium,chronos,bizitobs_l2c/5T/medium,ok,1783871579,1783875248,3669,0,7.584,0.7076498034260529,190.565,results\aaai_stress\external_logs\external_v1_chronos_bizitobs_l2c_5t_medium.log,completed
external_v1_chronos_car_parts_m_short,chronos,car_parts/M/short,failed_artifact_contract,1783857138,1783857148,10,1,10.499,0.5277309773667285,190.566,results\aaai_stress\external_logs\external_v1_chronos_car_parts_m_short.log,completed
external_v1_chronos_electricity_15t_short,chronos,electricity/15T/short,failed_artifact_contract,1783829641,1783836842,7201,124,9.514,0.8225807161205302,190.71,results\aaai_stress\external_logs\external_v1_chronos_electricity_15t_short.log,timeout_after_7200_seconds
external_v1_chronos_ett1_w_short,chronos,ett1/W/short,ok,1783829590,1783829641,51,0,9.597,0.8318345490237845,190.711,results\aaai_stress\external_logs\external_v1_chronos_ett1_w_short.log,completed
external_v1_chronos_hospital_m_short,chronos,hospital/M/short,ok,1783836954,1783837030,76,0,10.754,0.7662693881561424,190.629,results\aaai_stress\external_logs\external_v1_chronos_hospital_m_short.log,completed
external_v1_chronos_kdd_cup_2018_h_medium,chronos,kdd_cup_2018/H/medium,failed_artifact_contract,1783837043,1783844243,7200,124,10.699,0.7679908652278313,190.627,results\aaai_stress\external_logs\external_v1_chronos_kdd_cup_2018_h_medium.log,timeout_after_7200_seconds
external_v1_chronos_m4_monthly_m_short,chronos,m4_monthly/M/short,ok,1783828955,1783829590,635,0,8.94,0.7706592371790654,190.713,results\aaai_stress\external_logs\external_v1_chronos_m4_monthly_m_short.log,completed
external_v1_chronos_m4_yearly_a_short,chronos,m4_yearly/A/short,ok,1783828877,1783828955,78,0,10.331,0.7519718345746874,190.714,results\aaai_stress\external_logs\external_v1_chronos_m4_yearly_a_short.log,completed
external_v1_chronos_m_dense_h_short,chronos,m_dense/H/short,failed_artifact_contract,1783857161,1783864361,7200,124,10.331,0.5324107333206359,190.565,results\aaai_stress\external_logs\external_v1_chronos_m_dense_h_short.log,timeout_after_7200_seconds
external_v1_chronos_restaurant_d_short,chronos,restaurant/D/short,ok,1783856164,1783857131,967,0,10.275,0.5334513919657193,190.567,results\aaai_stress\external_logs\external_v1_chronos_restaurant_d_short.log,completed
external_v1_chronos_sz_taxi_15t_short,chronos,sz_taxi/15T/short,failed_artifact_contract,1783864370,1783871570,7200,124,10.954,0.5761485511344315,190.565,results\aaai_stress\external_logs\external_v1_chronos_sz_taxi_15t_short.log,timeout_after_7200_seconds
external_v1_chronos_temperature_rain_d_short,chronos,temperature_rain/D/short,ok,1783851656,1783856150,4494,0,9.499,0.5385591799675868,190.642,results\aaai_stress\external_logs\external_v1_chronos_temperature_rain_d_short.log,completed
external_v1_chronos_us_births_m_short,chronos,us_births/M/short,ok,1783837030,1783837043,13,0,10.755,0.7666482927570561,190.628,results\aaai_stress\external_logs\external_v1_chronos_us_births_m_short.log,completed
external_v1_moirai_bitbrains_fast_storage_5t_short,moirai,bitbrains_fast_storage/5T/short,failed_artifact_contract,1783920465,1783927665,7200,124,10.763,0.5898040566439464,190.135,results\aaai_stress\external_logs\external_v1_moirai_bitbrains_fast_storage_5t_short.log,timeout_after_7200_seconds
external_v1_moirai_bizitobs_l2c_5t_medium,moirai,bizitobs_l2c/5T/medium,ok,1783917245,1783920455,3210,0,10.209,0.6732400596201898,190.161,results\aaai_stress\external_logs\external_v1_moirai_bizitobs_l2c_5t_medium.log,completed
external_v1_moirai_car_parts_m_short,moirai,car_parts/M/short,failed_artifact_contract,1783888372,1783888387,15,0,9.921,0.6547630068124004,190.24,results\aaai_stress\external_logs\external_v1_moirai_car_parts_m_short.log,completed
external_v1_moirai_electricity_15t_short,moirai,electricity/15T/short,failed_artifact_contract,1783888394,1783895594,7200,124,9.982,0.6524239537366098,190.24,results\aaai_stress\external_logs\external_v1_moirai_electricity_15t_short.log,timeout_after_7200_seconds
external_v1_moirai_ett1_w_short,moirai,ett1/W/short,ok,1783883097,1783883123,26,0,11.105,0.5944090215590668,190.559,results\aaai_stress\external_logs\external_v1_moirai_ett1_w_short.log,completed
external_v1_moirai_hospital_m_short,moirai,hospital/M/short,ok,1783883130,1783883170,40,0,11.842,0.5759595571123987,190.558,results\aaai_stress\external_logs\external_v1_moirai_hospital_m_short.log,completed
external_v1_moirai_kdd_cup_2018_h_medium,moirai,kdd_cup_2018/H/medium,failed_artifact_contract,1783895605,1783902805,7200,124,11.245,0.5770081898020586,190.198,results\aaai_stress\external_logs\external_v1_moirai_kdd_cup_2018_h_medium.log,timeout_after_7200_seconds
external_v1_moirai_m4_monthly_m_short,moirai,m4_monthly/M/short,ok,1783882572,1783883090,518,0,12.311,0.5694692347611884,190.56,results\aaai_stress\external_logs\external_v1_moirai_m4_monthly_m_short.log,completed
external_v1_moirai_m4_yearly_a_short,moirai,m4_yearly/A/short,ok,1783882482,1783882566,84,0,12.373,0.5694756506591235,190.561,results\aaai_stress\external_logs\external_v1_moirai_m4_yearly_a_short.log,completed
external_v1_moirai_m_dense_h_short,moirai,m_dense/H/short,failed_artifact_contract,1783902815,1783910015,7200,124,11.22,0.5755355579145692,190.198,results\aaai_stress\external_logs\external_v1_moirai_m_dense_h_short.log,timeout_after_7200_seconds
external_v1_moirai_restaurant_d_short,moirai,restaurant/D/short,ok,1783887244,1783888366,1122,0,11.362,0.5776299819676606,190.313,results\aaai_stress\external_logs\external_v1_moirai_restaurant_d_short.log,completed
external_v1_moirai_sz_taxi_15t_short,moirai,sz_taxi/15T/short,failed_artifact_contract,1783910033,1783917233,7200,124,11.145,0.575321633546274,190.197,results\aaai_stress\external_logs\external_v1_moirai_sz_taxi_15t_short.log,timeout_after_7200_seconds
external_v1_moirai_temperature_rain_d_short,moirai,temperature_rain/D/short,ok,1783883198,1783887235,4037,0,11.723,0.5776394225031938,190.556,results\aaai_stress\external_logs\external_v1_moirai_temperature_rain_d_short.log,completed
