source,dataset,dataset_name,term,series_id,window_index,split
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_0,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_1,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_10,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_11,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_12,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_13,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_14,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_15,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_16,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_17,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_18,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_19,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_2,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_20,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_21,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_22,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_23,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_24,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_25,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_26,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_27,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_28,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_29,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_3,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_30,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_31,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_32,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_33,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_34,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_35,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_36,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_37,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_38,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_39,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_4,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_40,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_41,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_42,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_43,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_44,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_45,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_46,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_47,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_48,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_49,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_5,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_50,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_51,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_52,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_53,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_54,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_55,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_56,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_57,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_58,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_59,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_6,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_60,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_61,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_62,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_63,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_7,0,test
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_8,0,calibration
chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,solar/10T/short,solar,short,item_9,0,test
