source,dataset,dataset_name,term,series_id,window_index,split
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T1,0,test
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T10,0,test
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T11,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T12,0,test
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T2,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T3,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T4,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T5,0,test
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T6,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T7,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T8,0,calibration
moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,covid_deaths/D/short,covid_deaths,short,T9,0,test
