source,dataset,dataset_name,term,series_id,window_index,split
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_0,0,test
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_1,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_10,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_11,0,test
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_12,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_13,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_14,0,test
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_15,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_2,0,test
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_3,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_4,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_5,0,test
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_6,0,test
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_7,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_8,0,calibration
moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,solar/10T/short,solar,short,item_9,0,calibration
