source,dataset,dataset_name,term,series_id,window_index,split
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,0,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,1,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,10,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,11,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,12,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,13,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,14,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,15,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,16,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,17,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,18,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,19,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,2,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,20,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,21,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,22,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,23,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,24,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,25,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,26,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,27,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,28,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,3,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,30,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,31,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,32,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,4,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,5,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,6,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,7,0,calibration
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,8,0,test
timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,LOOP_SEATTLE/H/short,LOOP_SEATTLE,short,9,0,test
