baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
naive,2048,1.0046531111001968,0.8348484683189041,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6666666666666666,0,1,1,0.9536374795826275,0.0007601459385388089,139296,48,1.3177085518836975,1.0949918475105498,chronos_bolt_small,139296,1,0.04636252041737256,external_locked,1.3116055057445266,2.827908978821121,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_001,0.0,0
naive,2048,0.05430060997605324,0.22480621338557275,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9375,0,1,1,0.9712296249323588,0.00010884526578598212,139296,48,0.05716150626540184,0.23665041296235328,chronos_bolt_small,139296,1,0.028770375067641275,external_locked,1.052686264289804,0.2170135184934353,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_003,0.0,0
auto_arima,2048,16.101560819225654,0.491869285501994,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6458333333333334,0,0,0,0.6951682004788535,0.06728255733791778,139296,48,13.74056045214335,0.4197456214258944,chronos_bolt_small,139296,0,0.3048317995211464,external_locked,0.8533682297268931,22.48435029558106,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_010,0.3333333333333333,0
auto_arima,2048,10.958328806344007,0.5145838915110634,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.8333333333333334,0,0,0,0.5708723218648519,0.2239090408409786,139296,48,8.034625927607218,0.37729193472185896,chronos_bolt_small,139296,0,0.42912767813514807,external_locked,0.7331981061706299,10.775422860889394,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_009,0.0,0
auto_ets,2048,12.319406709638665,0.4419468135331939,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6666666666666666,0,0,0,0.8294354981172585,0.024556494769755906,139296,48,8.982465664545694,0.32223727746656466,chronos_bolt_small,139296,0,0.17056450188274153,external_locked,0.7291313515542199,13.143855868700387,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_005,0.0,0
auto_arima,2048,0.9373788149141339,0.4761234656043189,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.875,0,0,0,0.7293788233605676,0.06693046696604654,139296,48,0.5676497220993042,0.28832671342162425,chronos_bolt_small,139296,0,0.27062117663943236,external_locked,0.605571315531274,0.8234551180061048,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_007,0.0,0
auto_arima,2048,5.649039034955487,0.30138466756064286,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.8541666666666666,0,0,0,0.5308983923484241,0.2768529307711917,139296,48,3.2514227628707886,0.17346825936646074,chronos_bolt_small,139296,0,0.46910160765157594,external_locked,0.57557094981126,5.042330681877701,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_016,0.0,0
naive,2048,38.785460472106934,0.5833333207829707,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.75,0,0,0,0.7799674772720477,0.044101401295087,139296,48,20.357330799102783,0.30617425274242166,chronos_bolt_small,139296,0,0.22003252272795223,external_locked,0.5248701588509564,30.18615643358958,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_012,0.3333333333333333,0
auto_ets,2048,66.64559937679611,0.6266577995920016,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.5625,0,0,0,0.6613625248736477,0.10207090112367247,139296,48,32.62259769439697,0.30674501361396095,chronos_bolt_small,139296,0,0.3386374751263524,external_locked,0.48949364998515776,44.82029718213284,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_008,0.6666666666666666,0
naive,2048,7.072962760925293,0.41813695055618905,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.7291666666666666,0,0,0,0.6071360723944623,0.18011231778789674,139296,48,3.3215509255727134,0.1963622914585187,chronos_bolt_small,139296,0,0.39286392760553773,external_locked,0.4696123870356296,3.9860929351731746,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_014,0.0,0
auto_arima,2048,7.879488864922105,0.43547200601500863,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9166666666666666,0,0,0,0.7715859427463677,0.041285090402733995,139296,48,2.776292363802592,0.15343604460582186,chronos_bolt_small,139296,0,0.22841405725363226,external_locked,0.35234422072245486,4.511923384525187,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_011,0.0,0
naive,2048,4.86012327671051,0.8096697336347541,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6458333333333334,0,0,0,0.6587982493287767,0.11894109636364006,139296,48,1.4040549596150715,0.23390781271077712,chronos_bolt_small,139296,0,0.3412017506712233,external_locked,0.28889286951690096,2.182324869955412,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_002,0.3333333333333333,0
auto_arima,2048,78.62043833703677,0.7227146735340568,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.8333333333333334,0,0,0,0.5460850096991474,0.20127452642118793,139296,48,20.447457631429035,0.18796229045874166,chronos_bolt_small,139296,0,0.4539149903008526,external_locked,0.26007814334197527,28.339894674258932,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_006,0.0,0
naive,2048,43.23339859644572,0.7329322887170017,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9166666666666666,0,0,0,0.6686136400288185,0.11273518040173752,139296,48,8.519537289937338,0.14443102248355197,chronos_bolt_small,139296,0,0.33138635997118154,external_locked,0.19705916181749228,11.358508046564246,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_004,0.3333333333333333,0
naive,2048,14.236828247706095,0.6727157846357065,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9375,0,0,0,0.5238476418756477,0.21159514672194732,139296,48,2.778395652770996,0.131284200319227,chronos_bolt_small,139296,0,0.47615235812435236,external_locked,0.1951555223136494,3.7871693251274663,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_015,0.6666666666666666,0
naive,2048,39.50732505321503,0.6723334007791452,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9583333333333334,0,0,0,0.4926799889359965,0.42201068783988877,139296,48,5.466502944628398,0.09302863482102877,chronos_bolt_small,139296,0,0.5073200110640035,external_locked,0.13836682026092795,6.747832897880801,external_v1_chronos_electricity_15t_short_1784395460,real_gift_eval_window,MT_013,0.6666666666666666,0
