baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
auto_arima,19,104.28892008463542,0.1296989390801893,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.5,0,1,1,0.09033413944701008,0.012389982684106324,19,6,978.1461181640625,1.2164716413625511,chronos_bolt_small,19,0,0.9096658605529899,external_locked,9.379195003364126,1066.5724470795985,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,12,0.6666666666666666,0
auto_arima,19,168.5749647352427,0.18296288523605428,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.8333333333333334,0,1,1,0.7107795248466607,0.012830825245053846,19,6,698.4961751302084,0.7581130195037391,chronos_bolt_small,19,1,0.28922047515333926,external_locked,4.143534457961983,883.5151766377054,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,14,0.3333333333333333,0
auto_ets,19,198.34670135557994,0.24851644968698056,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,1,1,0.44191908446525063,0.012033137481065399,19,6,527.9700520833334,0.6615146205511071,chronos_bolt_small,19,0,0.5580809155347494,external_locked,2.6618544622873697,661.3181619168951,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,13,0.6666666666666666,0
auto_arima,19,525.666748046875,1.3757585005326531,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.0,0,1,1,0.0,0.021593317617979876,19,6,839.7642415364584,2.1978045939366067,chronos_bolt_small,19,0,1.1194636992398854,external_locked,1.5975220891498598,867.3226389791595,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,15,0.3333333333333333,0
auto_ets,19,221.67357987723503,0.4298171928920606,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,1,1,0.8094197276519273,0.46631393586798864,19,6,290.510498046875,0.5632895306934389,chronos_bolt_small,19,1,0.19058027234807268,external_locked,1.3105328032675847,328.72659598121885,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,5,0.3333333333333333,0
auto_arima,31,448.6666666666667,0.5016398330351813,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.5851531498015884,0.08976584191070594,31,6,418.3916015625,0.4677902521942079,chronos_bolt_small,31,0,0.4148468501984116,external_locked,0.9325221431556442,504.1438393980276,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,4,0.6666666666666666,0
seasonal_naive_6,31,380.6666666666667,0.9275503573749165,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.6931288989622231,0.03979762648620823,31,6,299.61830647786456,0.7300640996049313,chronos_bolt_small,31,0,0.306871101037777,external_locked,0.7870883707824792,323.3355448814716,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,1,1.0,0
auto_ets,19,356.36255447804314,1.160106951537644,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.0,0.27414271269904156,19,6,268.6849772135417,0.8746803106058901,chronos_bolt_small,19,0,1.2335472565724706,external_locked,0.7539652352281464,299.9325953556396,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,6,1.0,0
auto_arima,31,735.429068077519,1.324744182815868,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.8064326703212964,0.8330612939310141,31,6,407.8575032552083,0.734682484427158,chronos_bolt_small,31,0,0.19356732967870363,external_locked,0.5545844201146221,458.4069271688565,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,0,1.0,0
auto_arima,19,135.20913357204844,1.3652076927194166,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.0,1.5703498054053446,19,6,71.9140625,0.7261168587208595,chronos_bolt_small,19,0,1.3083491461098395,external_locked,0.5318728150985367,71.97558884642032,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,8,1.0,0
auto_arima,31,213.9999999999994,0.1964744766801315,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.1651713310917774,0.14547720499940817,31,6,103.32698567708333,0.09486502541046937,chronos_bolt_small,31,0,0.8348286689082226,external_locked,0.4828363816686128,120.77703315049006,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,2,0.3333333333333333,0
naive,19,47.049967447916664,0.6851910146756284,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.0,0.031137836732378403,19,6,20.265950520833332,0.2951340448026332,chronos_bolt_small,19,0,2.2432765937811845,external_locked,0.43073250886447234,23.866730187712704,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,7,0.3333333333333333,0
auto_arima,19,69.59073893229174,1.279433747108889,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.14543558115295874,1.8441933552622642,19,6,23.871175130208332,0.43887430300819746,chronos_bolt_small,19,0,0.8545644188470413,external_locked,0.3430222971684987,28.061256011366538,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,10,0.6666666666666666,0
auto_arima,31,505.31630994631206,0.42208178244763755,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.1679403615552374,0.10649007585482854,31,6,100.40706380208333,0.08386824574180024,chronos_bolt_small,31,0,0.8320596384447626,external_locked,0.1987014110285714,124.9943763516935,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,3,0.3333333333333333,0
auto_arima,19,395.7407633463542,2.127334903060732,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.0,4.481492557165964,19,6,59.642415364583336,0.3206123898762442,chronos_bolt_small,19,0,1.0269784278409204,external_locked,0.15071082104418912,60.08055994570974,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,11,0.6666666666666666,0
auto_arima,19,458.1775266178649,6.8183229855550564,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.0,0.013736430605173345,19,6,65.02164713541667,0.9676131313001315,chronos_bolt_small,19,0,1.3111747493180521,external_locked,0.14191365433260703,70.1825296594457,external_v1_chronos_m4_yearly_a_short_1783828940,real_gift_eval_window,9,1.0,0
