baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
naive,2048,0.28779760996500653,0.47674395946095394,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.875,0,1,1,0.8244442381429364,0.01728181045842053,7776,48,0.329825480779012,0.5463641816094933,moirai_1_1_small,7776,1,0.17555576185706356,external_locked,1.1460327304940776,0.5405625153708719,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_860_dim1,0.0,0
auto_arima,2048,25.673468205215283,0.5566583766514998,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.8541666666666666,0,1,1,0.07149049982545819,0.9722908790355416,7776,48,29.273224791511893,0.6347091737487676,moirai_1_1_small,7776,0,0.9285095001745418,external_locked,1.1402131008370822,39.20875212468691,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_233_dim1,0.0,0
naive,2048,14.965502421061197,0.4767447838948558,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.8958333333333334,0,1,1,0.8433420612739398,0.015398501232232874,7776,48,16.576274871826172,0.5280579534990395,moirai_1_1_small,7776,1,0.15665793872606015,external_locked,1.1076323671230042,27.954347914968544,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_860_dim0,0.0,0
auto_arima,2048,5475.159115279355,0.5496009624973752,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9375,0,1,1,0.0,1.4131913117733579,7776,48,5963.189726193746,0.5985898754840704,moirai_1_1_small,7776,0,1.1851217778446188,external_locked,1.0891354206588184,7945.595460302881,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_233_dim0,0.3333333333333333,0
naive,2048,0.024305264155069988,0.1761479543666444,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9791666666666666,0,0,0,0.8230375881599074,0.03649253615844947,7776,48,0.024371902147928875,0.1766309010258661,moirai_1_1_small,7776,0,0.17696241184009268,external_locked,1.0027417102497216,0.032864350614265854,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_826_dim1,0.0,0
naive,2048,2.527796427408854,0.17615107439997493,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9375,0,0,0,0.811359836414704,0.031924411774340744,7776,48,2.4958521525065103,0.17392501763212673,moirai_1_1_small,7776,0,0.188640163585296,external_locked,0.9873627976695591,3.321005879024292,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_826_dim0,0.0,0
auto_arima,2048,11.681519471985036,1.007102627500882,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.8333333333333334,0,0,0,0.9184415075222373,0.00843634241590806,7776,48,11.303597291310629,0.9745206999476352,moirai_1_1_small,7776,0,0.08155849247776267,external_locked,0.9676478576625482,14.825031790663575,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_142_dim0,0.0,0
auto_arima,2048,0.2246447142752701,1.0071028017370574,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.8541666666666666,0,0,0,0.9086208361339205,0.011236367396499114,7776,48,0.21687135845422745,0.9722541365836084,moirai_1_1_small,7776,0,0.09137916386607951,external_locked,0.9653971122931345,0.28584311773670645,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_142_dim1,0.0,0
naive,2048,9584.680785020193,1.0076626424148136,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9583333333333334,0,0,0,0.0,2.959596144671134,7776,48,7879.626011053721,0.8284057597357074,moirai_1_1_small,7776,0,1.4941880782978156,external_locked,0.8221062534882448,10958.55606293124,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_277_dim0,0.0,0
naive,2048,46.080209237212934,1.007662703461242,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9166666666666666,0,0,0,0.0,1.7335243986185451,7776,48,34.65473421600958,0.7578152040949174,moirai_1_1_small,7776,0,1.0858806557118839,external_locked,0.7520524491894613,48.41116661389162,external_v1_moirai_bitbrains_fast_storage_5t_short_1784607963,real_gift_eval_window,fastStorage_277_dim1,0.0,0
