baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
auto_ets,72,4.047678048196786,0.886352857269175,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,1,1,0.7898432943556472,0.030147037431503064,72,12,4.781260887781779,1.0469914352804524,moirai_1_1_small,72,1,0.21015670564435282,external_locked,1.1812354715095532,5.568531640467176,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T16,0.6666666666666666,0
auto_arima,72,3.40862882721531,0.43056364133240577,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.9166666666666666,0,1,1,0.7110182813236259,0.08657764294511024,72,12,3.998010436693827,0.505011844634946,moirai_1_1_small,72,1,0.28898171867637407,external_locked,1.1729087088542995,4.553224549502828,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T1,0.0,0
auto_arima,72,3.3333333333333335,0.7326007326005717,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.5833333333333334,0,1,1,0.8554287766510886,0.017352319127166525,72,12,3.8352416356404624,0.8429102495911251,moirai_1_1_small,72,1,0.14457122334891143,external_locked,1.1505724906917936,4.479455318292604,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T6,0.6666666666666666,0
seasonal_naive_12,72,28.916666666666668,1.00289017341037,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.5833333333333334,0,1,1,0.848050146045809,0.02196057371845569,72,12,32.11495494842529,1.1138134664193358,moirai_1_1_small,72,1,0.15194985395419097,external_locked,1.1106036293403176,35.226611908496686,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T4,0.3333333333333333,0
auto_ets,72,7.6917778682834745,1.237283303208939,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,1,1,0.8459524706185786,0.019949914663297708,72,12,8.461344798405966,1.3610742303063708,moirai_1_1_small,72,1,0.15404752938142136,external_locked,1.1000505921127348,9.616926099385898,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T8,0.3333333333333333,0
auto_ets,72,4.750000000000001,0.809659090908953,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.75,0,1,1,0.834070041775732,0.033068476298804154,72,12,5.16343367099762,0.8801307393744443,moirai_1_1_small,72,1,0.16592995822426804,external_locked,1.087038667578217,6.413953307928468,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T5,0.3333333333333333,0
auto_ets,72,4.277126074469521,1.0828167277135285,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.6666666666666666,0,0,0,0.8490158566889087,0.025830921973105308,72,12,4.394826491673787,1.1126143016892847,moirai_1_1_small,72,0,0.15098414331109133,external_locked,1.0275185755935043,6.087722049507858,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T11,0.3333333333333333,0
naive,72,5.666666666666667,0.8923884514434292,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.75,0,0,0,0.9093641826084824,0.007727713614579725,72,12,5.730467637379964,0.9024358484061514,moirai_1_1_small,72,0,0.09063581739151758,external_locked,1.0112589948315798,7.594649699916326,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T12,0.3333333333333333,0
auto_arima,72,7.11768628365487,1.355749768314955,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.6666666666666666,0,0,0,0.7861888604086339,0.05267034546386692,72,12,7.029722372690837,1.3389947376551425,moirai_1_1_small,72,0,0.21381113959136608,external_locked,0.9876415021034262,8.021496362084294,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T14,0.6666666666666666,0
naive,72,6.666666666666667,0.9090909090907852,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,0,0,0.7917453295564312,0.03372578772203223,72,12,6.331105709075928,0.8633325966920543,moirai_1_1_small,72,0,0.20825467044356877,external_locked,0.9496658563612467,7.5102282509069775,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T10,0.0,0
auto_ets,72,3.3836076784482128,0.8088305207443993,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.5833333333333334,0,0,0,0.8648597277128065,0.01189082140402149,72,12,3.094849387804667,0.7398046345348033,moirai_1_1_small,72,0,0.13514027228719347,external_locked,0.9146596419899099,3.673952322126523,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T7,0.0,0
auto_ets,72,3.8325877360216314,0.7254109279534838,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.9166666666666666,0,0,0,0.8145962046153814,0.04320025532007462,72,12,3.5040477514266968,0.6632267037399433,moirai_1_1_small,72,0,0.1854037953846186,external_locked,0.9142772436732562,4.434425876362965,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T2,0.3333333333333333,0
auto_ets,72,2.97690129424276,0.747339237048204,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,0,0,0.7002167547903817,0.07175054199614256,72,12,2.70552921295166,0.6792123547157274,moirai_1_1_small,72,0,0.2997832452096183,external_locked,0.9088407526924609,3.6458169054178717,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T9,0.6666666666666666,0
auto_arima,72,5.993055535389664,1.2796559862039254,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.6666666666666666,0,0,0,0.905765407056706,0.01116586851528433,72,12,5.336521466573079,1.1394707757804852,moirai_1_1_small,72,0,0.09423459294329393,external_locked,0.890450861844919,6.471793614784467,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T13,0.0,0
seasonal_naive_12,72,19.5,0.3808593749999925,rolling_pre_origin,12,72,hospital/M/short,Healthcare,1.0,0,0,0,0.40498783277433414,0.34937138438078835,72,12,9.745903015136719,0.1903496682643853,moirai_1_1_small,72,0,0.5950121672256659,external_locked,0.49978989821211384,12.216032986000874,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T3,0.3333333333333333,0
naive,72,9.916666666666666,1.690340909090621,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,0,0,0.8749112183193251,0.01733318323900676,72,12,3.9352970123291016,0.6707892634650735,moirai_1_1_small,72,0,0.12508878168067494,external_locked,0.3968366735121383,4.695706551659548,external_v1_moirai_hospital_m_short_1783883140,real_gift_eval_window,T15,0.6666666666666666,0
