baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
auto_arima,19,104.28892008463542,0.1296989390801893,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,1,1,0.5300459804613821,0.09640898527837802,19,6,217.13907877604166,0.2700450644924396,moirai_1_1_small,19,0,0.46995401953861793,external_locked,2.0820915452937943,266.56344472375605,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,12,0.3333333333333333,0
auto_arima,31,213.9999999999994,0.1964744766801315,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,1,1,0.0,0.598517473855534,31,6,311.6664225260417,0.2861425105821166,moirai_1_1_small,31,0,1.2317969986154986,external_locked,1.4563851519908464,337.50292062643626,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,2,0.3333333333333333,0
auto_ets,19,356.36255447804314,1.160106951537644,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,1,1,1,0.0,5.721838331043782,19,6,448.4027506510417,1.4597357146033296,moirai_1_1_small,19,0,1.22133989475606,external_locked,1.2582768447930974,455.9871515599516,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,6,0.6666666666666666,0
auto_arima,19,168.5749647352427,0.18296288523605428,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,1,1,0.6379993724552057,0.0059101042155266445,19,6,208.57861328125,0.2263808564006445,moirai_1_1_small,19,1,0.36200062754479434,external_locked,1.2373048015097274,272.9438583444184,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,14,0.3333333333333333,0
auto_arima,31,505.31630994631206,0.42208178244763755,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,0.5,0,1,1,0.0,0.6318484448263059,31,6,558.5559895833334,0.4665519458597836,moirai_1_1_small,31,0,1.3803637127543527,external_locked,1.1053591158430582,583.2609333772529,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,3,0.3333333333333333,0
auto_arima,19,135.20913357204844,1.3652076927194166,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.8333333333333334,0,0,0,0.0,3.630590941445465,19,6,134.08085123697916,1.353815417044673,moirai_1_1_small,19,0,3.308653237969577,external_locked,0.9916552801925245,140.12213707436095,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,8,0.6666666666666666,0
naive,19,47.049967447916664,0.6851910146756284,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.4160958114218559,0.15143116849944266,19,6,42.780558268229164,0.6230153965706035,moirai_1_1_small,19,0,0.5839041885781441,external_locked,0.909257978033363,43.576792357397736,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,7,0.6666666666666666,0
auto_arima,19,69.59073893229174,1.279433747108889,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.8333333333333334,0,0,0,0.0,16.062670460366167,19,6,60.854156494140625,1.1188106731587057,moirai_1_1_small,19,0,2.5242266664645925,external_locked,0.8744576854306398,61.54742799179134,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,10,1.0,0
auto_ets,19,221.67357987723503,0.4298171928920606,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.4148333965481299,1.10958808975419,19,6,188.13326009114584,0.3647837048817044,moirai_1_1_small,19,0,0.5851666034518701,external_locked,0.8486950054911145,229.16136939744402,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,5,1.0,0
auto_arima,19,525.666748046875,1.3757585005326531,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.8333333333333334,0,0,0,0.04867336531377464,0.9546119481611517,19,6,386.18520100911456,1.010711777075965,moirai_1_1_small,19,0,0.9513266346862254,external_locked,0.7346578463332376,390.0320820085325,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,15,0.3333333333333333,0
auto_ets,19,198.34670135557994,0.24851644968698056,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.5186695855682367,0.12048033717394023,19,6,142.05000813802084,0.17798008970757465,moirai_1_1_small,19,0,0.4813304144317633,external_locked,0.7161702572676737,167.25005765585698,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,13,0.6666666666666666,0
seasonal_naive_6,31,380.6666666666667,0.9275503573749165,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.3517528932486068,1.2428379091279305,31,6,245.26163736979166,0.5976160754624539,moirai_1_1_small,31,0,0.6482471067513932,external_locked,0.6442950193602215,265.3586299770674,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,1,0.6666666666666666,0
auto_arima,31,448.6666666666667,0.5016398330351813,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,0.8333333333333334,0,0,0,0.37318341290509427,0.14769942402293998,31,6,176.95430501302084,0.19784694209863668,moirai_1_1_small,31,0,0.6268165870949057,external_locked,0.3944003826441763,225.90192957435005,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,4,0.6666666666666666,0
auto_arima,31,735.429068077519,1.324744182815868,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.6759003429878079,3.759254241344988,31,6,272.9807535807292,0.49172609708247866,moirai_1_1_small,31,0,0.32409965701219207,external_locked,0.3711857001985606,324.89665562307124,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,0,0.6666666666666666,0
auto_arima,19,458.1775266178649,6.8183229855550564,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,0.8333333333333334,0,0,0,0.1006629978515532,0.49216324528178484,19,6,141.775146484375,2.109812646618704,moirai_1_1_small,19,0,0.8993370021484468,external_locked,0.30943278150484194,146.83051928328217,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,9,0.6666666666666666,0
auto_arima,19,395.7407633463542,2.127334903060732,rolling_pre_origin,6,19,m4_yearly/A-DEC/short,Econ/Fin,1.0,0,0,0,0.0,46.73026673182437,19,6,103.87972005208333,0.5584134227627338,moirai_1_1_small,19,0,1.6917045082617144,external_locked,0.26249436417336425,107.02335750948967,external_v1_moirai_m4_yearly_a_short_1783882546,real_gift_eval_window,11,0.3333333333333333,0
