baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
auto_arima,635,2.3328798666130814,0.7734013044109942,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.9,0,1,1,0.7135477614001242,0.07217182205045154,635,30,2.5344996452331543,0.8402427230418672,moirai_1_1_small,635,1,0.28645223859987573,external_locked,1.0864252726874024,3.107600097580296,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T2,0.3333333333333333,0
naive,635,0.8633333206176758,0.2600304071036665,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,1.0,0,0,0,0.7150600676485823,0.087396206546519,635,30,0.8989658355712891,0.2707626899291301,moirai_1_1_small,635,0,0.28493993235141774,external_locked,1.0412731839506422,1.0869564462169714,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T3,0.0,0
auto_arima,635,23.685078617165154,1.0084989305188268,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.8333333333333334,0,0,0,0.8297595897642608,0.01631121894255941,635,30,22.10915273030599,0.9413967858663458,moirai_1_1_small,635,0,0.17024041023573921,external_locked,0.9334633457489145,28.462295996746736,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T4,0.0,0
auto_arima,635,11.336117618296013,2.596172943165457,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.7333333333333333,0,0,0,0.6668203875713484,0.05610749932632367,635,30,10.411898104349772,2.3845102049648426,moirai_1_1_small,635,0,0.3331796124286516,external_locked,0.9184712487055084,15.78916787337877,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T13,0.0,0
auto_ets,635,31.786583942341544,1.5798240317805594,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.7333333333333333,0,0,0,0.797770932684372,0.029744759572331005,635,30,24.286236063639322,1.2070494723317768,moirai_1_1_small,635,0,0.20222906731562798,external_locked,0.7640404551710228,34.435007166049054,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T5,0.0,0
auto_ets,635,35.29581347368274,2.70341364918382,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.6333333333333333,0,0,0,0.7044065979136203,0.08095006054475488,635,30,23.080191644032798,1.7677820391582642,moirai_1_1_small,635,0,0.29559340208637974,external_locked,0.6539073440322091,27.232580460945723,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T9,0.0,0
auto_ets,635,12.311931566018833,3.534801513637335,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.7,0,0,0,0.7766537136831879,0.021222935916381993,635,30,7.889237229029337,2.265029459356748,moirai_1_1_small,635,0,0.22334628631681205,external_locked,0.640779814826387,11.906022639183032,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T11,0.0,0
naive,635,6.366666666666666,4.428186628183548,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.8333333333333334,0,0,0,0.9999551015385126,7.034099874907395e-10,635,30,4.0332720647255575,2.805248391336748,moirai_1_1_small,635,0,4.4898461487322616e-05,external_locked,0.6334982300615064,8.396065145685144,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T10,0.3333333333333333,0
auto_ets,635,29.556067381308782,3.179604423216033,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.7,0,0,0,0.7702639599108303,0.023679309678566796,635,30,18.306639860073727,1.9694052095078098,moirai_1_1_small,635,0,0.2297360400891697,external_locked,0.6193868630726631,26.95092824021607,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T12,0.3333333333333333,0
auto_ets,635,32.5275523998106,3.696835712498686,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.7333333333333333,0,0,0,0.7081959285838307,0.06354033976228507,635,30,19.04038389523824,2.1639860970298956,moirai_1_1_small,635,0,0.29180407141616926,external_locked,0.5853617161600059,23.200929001980423,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T6,0.0,0
auto_ets,635,8.402363138219489,5.807707696936888,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.8,0,0,0,0.8394595860348502,0.012382617073659256,635,30,4.634380700190862,3.2032807937812735,moirai_1_1_small,635,0,0.16054041396514984,external_locked,0.5515568208555627,7.446739974556779,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T14,0.0,0
auto_ets,635,19.873275133250807,5.251600117447564,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.8,0,0,0,0.813715024733233,0.018463633472676013,635,30,10.227092655499776,2.7025540898846434,moirai_1_1_small,635,0,0.18628497526676702,external_locked,0.5146153609269911,15.366324876630852,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T8,0.0,0
auto_ets,635,28.18931189783915,4.4100124423097515,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.7666666666666667,0,0,0,0.7292744665338153,0.044497365252290526,635,30,13.806736707687378,2.159963353815084,moirai_1_1_small,635,0,0.2707255334661847,external_locked,0.4897862266991073,17.75665939818986,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T7,0.6666666666666666,0
naive,635,3.6136267075936,11.393876214565426,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.8666666666666667,0,0,0,0.9786030260950259,0.0008160929694831622,635,30,1.606408285846313,5.065054760781771,moirai_1_1_small,635,0,0.02139697390497412,external_locked,0.4445418455841593,3.227308777323164,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T15,0.0,0
auto_ets,635,2.2030929277482074,0.8881788732459002,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,1.0,0,0,0,0.6026399526909623,0.13392614254369736,635,30,0.9597744305928548,0.38693391531399546,moirai_1_1_small,635,0,0.3973600473090377,external_locked,0.4356486367433486,1.1689693014273472,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T0,0.3333333333333333,0
naive,635,23.073332974314688,4.603968605941931,rolling_pre_origin,30,512,temperature_rain_with_missing/D/short,Nature,0.9333333333333333,0,0,0,0.7625129763652986,0.047088927966493103,635,30,6.910798892378807,1.37895557516156,moirai_1_1_small,635,0,0.23748702363470142,external_locked,0.29951454781464093,10.26141545155408,external_v1_moirai_temperature_rain_d_short_1783883218,real_gift_eval_window,T1,0.3333333333333333,0
