actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
1190.0,182,auto_ets,1201.4376069453617,auto_ets,1,182,covid_deaths/D/short,Healthcare,1259.420166015625,1259.420166015625,1182.55126953125,1207.3946533203125,1226.7568359375,1242.5028076171875,1259.420166015625,1277.6495361328125,1294.7000732421875,1314.824462890625,1349.0855712890625,182,30,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1211.0,182,auto_ets,1216.873409044966,auto_ets,1,182,covid_deaths/D/short,Healthcare,1264.3353271484375,1264.3353271484375,1196.25390625,1219.0892333984375,1232.252197265625,1248.2208251953125,1264.3353271484375,1280.540771484375,1295.3673095703125,1311.8927001953125,1340.257080078125,182,30,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1225.0,182,auto_ets,1232.3092111445699,auto_ets,1,182,covid_deaths/D/short,Healthcare,1280.35986328125,1280.35986328125,1207.73486328125,1231.7454833984375,1248.278076171875,1263.9193115234375,1280.35986328125,1296.55224609375,1311.6204833984375,1327.2108154296875,1352.8887939453125,182,30,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1248.0,182,auto_ets,1247.745013244174,auto_ets,1,182,covid_deaths/D/short,Healthcare,1300.6356201171875,1300.6356201171875,1223.7999267578125,1247.842041015625,1265.630126953125,1282.7562255859375,1300.6356201171875,1320.2628173828125,1336.3687744140625,1352.4400634765625,1378.8592529296875,182,30,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1259.0,182,auto_ets,1263.1808153437782,auto_ets,1,182,covid_deaths/D/short,Healthcare,1317.8680419921875,1317.8680419921875,1227.30859375,1259.051025390625,1278.467529296875,1296.80859375,1317.8680419921875,1338.7918701171875,1355.718505859375,1373.5301513671875,1399.2734375,182,30,5,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1269.0,182,auto_ets,1278.6166174433824,auto_ets,1,182,covid_deaths/D/short,Healthcare,1338.947509765625,1338.947509765625,1231.3773193359375,1273.284912109375,1294.538330078125,1317.3477783203125,1338.947509765625,1362.6629638671875,1379.700927734375,1400.6920166015625,1430.6282958984375,182,30,6,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1270.0,182,auto_ets,1294.0524195429864,auto_ets,1,182,covid_deaths/D/short,Healthcare,1358.093994140625,1358.093994140625,1239.2462158203125,1288.220703125,1313.250244140625,1334.0133056640625,1358.093994140625,1381.71875,1401.9190673828125,1423.635498046875,1453.4044189453125,182,30,7,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1271.0,182,auto_ets,1309.4882216425906,auto_ets,1,182,covid_deaths/D/short,Healthcare,1372.5875244140625,1372.5875244140625,1243.679443359375,1296.1373291015625,1325.552001953125,1348.5140380859375,1372.5875244140625,1395.935546875,1417.285888671875,1443.3011474609375,1480.2337646484375,182,30,8,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1271.0,182,auto_ets,1324.9240237421948,auto_ets,1,182,covid_deaths/D/short,Healthcare,1409.7540283203125,1409.7540283203125,1263.4398193359375,1325.6998291015625,1357.633544921875,1383.889892578125,1409.7540283203125,1432.7098388671875,1452.7218017578125,1479.6705322265625,1516.693359375,182,30,9,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
1272.0,182,auto_ets,1340.359825841799,auto_ets,1,182,covid_deaths/D/short,Healthcare,1435.335693359375,1435.335693359375,1262.6807861328125,1337.8138427734375,1379.3184814453125,1408.9671630859375,1435.335693359375,1460.7957763671875,1486.9996337890625,1514.4447021484375,1554.9578857421875,182,30,10,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,182,medium_snr_persistent,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets_1783242968,T1,gift-eval:dc1de0aaef8bf3ee5aa2cd0af422921ea9209a43;chronos-forecasting:7dc4435706a4454feb79df44ca9f33631f3027bf,0
