actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
13.0,72,auto_arima,17.371821251333554,rolling_pre_origin,12,72,hospital/M/short,Healthcare,15.76919174194336,15.76919174194336,10.076253890991211,12.04732608795166,13.453969955444336,14.663484573364258,15.76919174194336,16.900663375854492,18.141191482543945,19.69716453552246,22.170387268066406,72,12,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
19.0,72,auto_arima,16.232869169796945,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.993880271911621,14.993880271911621,8.501869201660156,10.768040657043457,12.3532133102417,13.720005989074707,14.993880271911621,16.25578498840332,17.645668029785156,19.344005584716797,22.128684997558594,72,12,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
18.0,72,auto_arima,15.43614347545961,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.517178535461426,14.517178535461426,7.617995738983154,9.981708526611328,11.703130722045898,13.153095245361328,14.517178535461426,15.890069961547852,17.356054306030273,19.15528106689453,22.152812957763672,72,12,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
14.0,72,auto_arima,14.87881376659169,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.364090919494629,14.364090919494629,7.140581130981445,9.596285820007324,11.403511047363281,12.918451309204102,14.364090919494629,15.789072036743164,17.314979553222656,19.235515594482422,22.38588523864746,72,12,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
6.0,72,auto_arima,14.488947584799787,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.084446907043457,14.084446907043457,6.578392505645752,9.077471733093262,10.969427108764648,12.587263107299805,14.084446907043457,15.610905647277832,17.242050170898438,19.280033111572266,22.573699951171875,72,12,5,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
15.0,72,auto_arima,14.216226362000198,rolling_pre_origin,12,72,hospital/M/short,Healthcare,13.950337409973145,13.950337409973145,6.160027027130127,8.667156219482422,10.64460563659668,12.36129093170166,13.950337409973145,15.538253784179688,17.253055572509766,19.38701820373535,22.86697006225586,72,12,6,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
21.0,72,auto_arima,14.025450991273114,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.105453491210938,14.105453491210938,6.045928955078125,8.578747749328613,10.653995513916016,12.419991493225098,14.105453491210938,15.755097389221191,17.538522720336914,19.775375366210938,23.35717010498047,72,12,7,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
17.0,72,auto_arima,13.891998809948738,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.131489753723145,14.131489753723145,5.7747979164123535,8.372444152832031,10.523784637451172,12.405604362487793,14.131489753723145,15.858110427856445,17.678417205810547,19.977230072021484,23.693376541137695,72,12,8,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
14.0,72,auto_arima,13.798645644745294,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.118672370910645,14.118672370910645,5.407369613647461,8.070955276489258,10.306098937988281,12.289250373840332,14.118672370910645,15.912420272827148,17.878108978271484,20.28134536743164,24.13922882080078,72,12,9,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
12.0,72,auto_arima,13.73334275222592,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.244503021240234,14.244503021240234,5.21913480758667,7.8905930519104,10.229665756225586,12.296815872192383,14.244503021240234,16.131498336791992,18.172975540161133,20.671825408935547,24.706022262573242,72,12,10,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,72,external_locked,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,0
