actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
8720.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,7463.4326171875,7463.4326171875,6716.3203125,6976.10693359375,7161.1982421875,7316.89501953125,7463.4326171875,7604.7216796875,7764.0576171875,7960.01708984375,8263.048828125,469,18,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
7790.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,7246.3896484375,7246.3896484375,6367.0087890625,6682.72607421875,6895.5185546875,7072.1474609375,7246.3896484375,7408.9169921875,7599.71826171875,7831.0166015625,8179.83251953125,469,18,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
4770.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6023.90869140625,6023.90869140625,5180.533203125,5470.0283203125,5676.57568359375,5854.599609375,6023.90869140625,6196.60009765625,6396.52294921875,6640.20849609375,7011.76904296875,469,18,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
5060.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5478.423828125,5478.423828125,4716.77587890625,4953.79638671875,5140.9306640625,5311.1416015625,5478.423828125,5656.25439453125,5854.58154296875,6101.2138671875,6480.080078125,469,18,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
4720.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5106.85498046875,5106.85498046875,4315.7255859375,4582.298828125,4769.9716796875,4945.24267578125,5106.85498046875,5283.85888671875,5481.37060546875,5726.896484375,6096.14306640625,469,18,5,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
4450.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,4948.671875,4948.671875,4109.046875,4404.38330078125,4608.67333984375,4783.5537109375,4948.671875,5119.74072265625,5309.77099609375,5552.2333984375,5923.927734375,469,18,6,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
5120.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5255.9345703125,5255.9345703125,4285.89306640625,4627.5546875,4866.34716796875,5069.8779296875,5255.9345703125,5430.78466796875,5635.5751953125,5879.23291015625,6256.21484375,469,18,7,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
5960.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5071.14697265625,5071.14697265625,4123.7802734375,4454.9541015625,4695.4609375,4894.736328125,5071.14697265625,5242.90966796875,5437.22119140625,5664.8046875,6024.8154296875,469,18,8,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
6560.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,4767.4365234375,4767.4365234375,3815.849365234375,4156.98046875,4393.81005859375,4589.5,4767.4365234375,4941.3876953125,5135.927734375,5368.298828125,5743.8515625,469,18,9,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
4900.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,4359.62744140625,4359.62744140625,3473.789306640625,3787.34521484375,4010.716796875,4194.7626953125,4359.62744140625,4534.30517578125,4733.13525390625,4977.1123046875,5357.89697265625,469,18,10,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,469,external_locked,external_v1_chronos_m4_monthly_m_short_1783828971,0,gift-eval:unknown;chronos-forecasting:unknown,0
