actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
7290.2001953125,31,auto_arima,7066.887690615971,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7172.42333984375,7172.42333984375,6834.1826171875,6990.677734375,7070.1474609375,7129.97705078125,7172.42333984375,7221.9296875,7276.12939453125,7344.2255859375,7464.376953125,31,6,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,0,gift-eval:unknown;chronos-forecasting:unknown,0
7392.60009765625,31,auto_arima,6926.878511992547,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7167.56005859375,7167.56005859375,6699.517578125,6918.98583984375,7026.48486328125,7102.6455078125,7167.56005859375,7226.3681640625,7297.2177734375,7387.71630859375,7548.943359375,31,6,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,0,gift-eval:unknown;chronos-forecasting:unknown,0
7527.60009765625,31,auto_arima,6825.944846643658,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7174.7978515625,7174.7978515625,6576.33984375,6846.6943359375,6991.509765625,7090.689453125,7174.7978515625,7257.73388671875,7342.42822265625,7458.3447265625,7665.5986328125,31,6,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,0,gift-eval:unknown;chronos-forecasting:unknown,0
7594.7998046875,31,auto_arima,6753.181011437091,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7169.06005859375,7169.06005859375,6453.29345703125,6776.91259765625,6948.4609375,7068.33349609375,7169.06005859375,7268.3994140625,7373.5478515625,7503.57861328125,7750.873046875,31,6,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,0,gift-eval:unknown;chronos-forecasting:unknown,0
7720.7001953125,31,auto_arima,6700.725017734028,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7134.38671875,7134.38671875,6313.84375,6679.505859375,6878.03466796875,7019.404296875,7134.38671875,7252.7587890625,7381.908203125,7547.078125,7816.333984375,31,6,5,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,0,gift-eval:unknown;chronos-forecasting:unknown,0
7823.2001953125,31,auto_arima,6662.90909904909,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7083.7275390625,7083.7275390625,6182.2587890625,6570.482421875,6794.4208984375,6953.845703125,7083.7275390625,7209.25634765625,7353.95947265625,7537.08203125,7855.6298828125,31,6,6,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,0,gift-eval:unknown;chronos-forecasting:unknown,0
1598.0,31,seasonal_naive_6,1013.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1664.5887451171875,1664.5887451171875,1283.6580810546875,1405.747314453125,1498.466552734375,1583.597412109375,1664.5887451171875,1747.9049072265625,1840.1162109375,1957.231689453125,2158.58154296875,31,6,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,1,gift-eval:unknown;chronos-forecasting:unknown,0
1366.0,31,seasonal_naive_6,944.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1621.12109375,1621.12109375,1153.690673828125,1290.3834228515625,1403.4954833984375,1512.934326171875,1621.12109375,1733.319580078125,1861.173828125,2018.96728515625,2294.287109375,31,6,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,1,gift-eval:unknown;chronos-forecasting:unknown,0
1288.0,31,seasonal_naive_6,861.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1567.3779296875,1567.3779296875,1051.86376953125,1197.5771484375,1319.1767578125,1441.5128173828125,1567.3779296875,1700.448486328125,1849.807373046875,2037.837646484375,2357.87548828125,31,6,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,1,gift-eval:unknown;chronos-forecasting:unknown,0
1148.0,31,seasonal_naive_6,1002.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1534.0487060546875,1534.0487060546875,989.3775634765625,1138.8154296875,1265.686767578125,1396.65283203125,1534.0487060546875,1683.8905029296875,1854.1708984375,2067.478759765625,2424.334716796875,31,6,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,31,external_locked,external_v1_chronos_m4_yearly_a_short_1783828940,1,gift-eval:unknown;chronos-forecasting:unknown,0
