actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
27.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,24.653703689575195,24.653703689575195,12.700570106506348,16.650917053222656,19.585800170898438,22.20755386352539,24.653703689575195,27.172250747680664,30.012266159057617,33.584659576416016,38.981170654296875,436,30,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
20.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,22.24529266357422,22.24529266357422,9.587922096252441,13.646227836608887,16.768104553222656,19.576784133911133,22.24529266357422,24.927593231201172,27.944908142089844,31.652090072631836,37.417564392089844,436,30,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
nan,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,16.190277099609375,16.190277099609375,3.512096405029297,7.532060623168945,10.681585311889648,13.545027732849121,16.190277099609375,18.919017791748047,21.892065048217773,25.59739112854004,31.29277801513672,436,30,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
6.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,10.532341003417969,10.532341003417969,-1.9027175903320312,2.11700439453125,5.1709442138671875,7.94398307800293,10.532341003417969,13.210563659667969,16.082775115966797,19.774044036865234,25.483850479125977,436,30,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
18.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,13.453007698059082,13.453007698059082,0.9564094543457031,5.002294540405273,8.068517684936523,10.854802131652832,13.453007698059082,16.105859756469727,19.084545135498047,22.791118621826172,28.481510162353516,436,30,5,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
20.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,16.169261932373047,16.169261932373047,3.6814308166503906,7.746225357055664,10.83149242401123,13.59616470336914,16.169261932373047,18.861713409423828,21.834312438964844,25.50726318359375,31.18889617919922,436,30,6,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
20.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,17.51881217956543,17.51881217956543,5.183923721313477,9.13723087310791,12.201720237731934,14.923357009887695,17.51881217956543,20.20912742614746,23.244943618774414,26.99831199645996,32.616756439208984,436,30,7,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
31.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,25.216012954711914,25.216012954711914,12.31728458404541,16.512691497802734,19.713485717773438,22.514863967895508,25.216012954711914,27.910287857055664,30.907209396362305,34.56977081298828,40.20396423339844,436,30,8,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
32.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,22.46562957763672,22.46562957763672,9.528489112854004,13.788131713867188,16.97179412841797,19.767898559570312,22.46562957763672,25.193248748779297,28.219186782836914,31.95653533935547,37.76390075683594,436,30,9,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
4.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,15.943243980407715,15.943243980407715,3.241819381713867,7.362648010253906,10.519060134887695,13.28335952758789,15.943243980407715,18.626712799072266,21.591567993164062,25.267396926879883,30.948135375976562,436,30,10,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,436,external_locked,external_v1_chronos_restaurant_d_short_1783856172,air_ba937bf13d40fb24,gift-eval:unknown;chronos-forecasting:unknown,0
