actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
305334.0,216,auto_arima,306866.0955658876,rolling_pre_origin,12,216,us_births/M/short,Healthcare,303573.09375,303573.09375,293967.4375,297399.0,299775.9375,301739.71875,303573.09375,305313.71875,307312.71875,309485.5,312263.09375,216,12,1,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
283760.0,216,auto_arima,286628.0008257866,rolling_pre_origin,12,216,us_births/M/short,Healthcare,292030.84375,292030.84375,281071.0625,284959.6875,287635.0,289937.46875,292030.84375,294060.9375,296292.65625,298754.4375,302103.09375,216,12,2,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
317780.0,216,auto_arima,314621.00259358034,rolling_pre_origin,12,216,us_births/M/short,Healthcare,305821.21875,305821.21875,292764.875,297443.5625,300737.125,303385.53125,305821.21875,308184.71875,310658.78125,313498.21875,317400.1875,216,12,3,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
308065.0,216,auto_arima,301889.6443701467,rolling_pre_origin,12,216,us_births/M/short,Healthcare,303799.78125,303799.78125,291421.65625,295827.46875,298975.9375,301502.78125,303799.78125,306169.40625,308532.65625,311360.46875,315231.5,216,12,4,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
320111.0,216,auto_arima,314617.72035113943,rolling_pre_origin,12,216,us_births/M/short,Healthcare,305639.8125,305639.8125,293695.78125,297981.25,300900.9375,303434.84375,305639.8125,307848.65625,310244.1875,312998.90625,316890.3125,216,12,5,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
321357.0,216,auto_arima,310465.97576368105,rolling_pre_origin,12,216,us_births/M/short,Healthcare,307811.25,307811.25,295574.5625,300123.375,303081.53125,305528.28125,307811.25,310071.4375,312627.96875,315545.59375,319818.03125,216,12,6,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
336718.0,216,auto_arima,335023.4091382878,rolling_pre_origin,12,216,us_births/M/short,Healthcare,329258.3125,329258.3125,314808.34375,320489.71875,324040.53125,326723.5625,329258.3125,331547.40625,334212.78125,337284.65625,341369.71875,216,12,7,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
331688.0,216,auto_arima,338500.57069704216,rolling_pre_origin,12,216,us_births/M/short,Healthcare,332471.46875,332471.46875,318136.3125,323779.0625,327446.5,330071.53125,332471.46875,334853.75,337393.125,340412.96875,344515.1875,216,12,8,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
334435.0,216,auto_arima,333646.9809329698,rolling_pre_origin,12,216,us_births/M/short,Healthcare,329581.90625,329581.90625,314492.0,320545.53125,324311.125,327114.15625,329581.90625,332060.25,334853.71875,338039.65625,342457.3125,216,12,9,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
326734.0,216,auto_arima,323751.3043114929,rolling_pre_origin,12,216,us_births/M/short,Healthcare,313222.15625,313222.15625,298119.40625,304017.59375,307738.4375,310630.0625,313222.15625,315837.21875,318712.21875,322202.96875,327329.625,216,12,10,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
306657.0,216,auto_arima,302307.15846262366,rolling_pre_origin,12,216,us_births/M/short,Healthcare,302978.09375,302978.09375,288687.65625,294048.40625,297579.0625,300411.25,302978.09375,305653.875,308656.625,312282.1875,317537.96875,216,12,11,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
320572.0,216,auto_arima,313510.9104098001,rolling_pre_origin,12,216,us_births/M/short,Healthcare,303213.25,303213.25,286484.5,292705.28125,296924.875,300295.03125,303213.25,306397.875,309795.96875,313891.1875,319845.21875,216,12,12,chronos_bolt_small,amazon/chronos-bolt-small,amazon/chronos-bolt-small,216,external_locked,external_v1_chronos_us_births_m_short_1783837038,T1,gift-eval:unknown;chronos-forecasting:unknown,0
