actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
13.0,72,auto_arima,17.371821251333554,rolling_pre_origin,12,72,hospital/M/short,Healthcare,17.64337921142578,17.64337921142578,7.697742986679077,12.554469680786132,14.075221347808839,16.398691177368164,17.64337921142578,18.390227127075196,20.12772903442383,21.815071868896485,24.962786483764653,72,12,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
19.0,72,auto_arima,16.232869169796945,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.967063426971436,14.967063426971436,9.156151866912841,11.196877670288085,12.972509860992432,13.82069206237793,14.967063426971436,16.197340774536134,17.39522762298584,19.564227676391603,24.76936378479004,72,12,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
18.0,72,auto_arima,15.43614347545961,rolling_pre_origin,12,72,hospital/M/short,Healthcare,15.009668350219727,15.009668350219727,8.143790912628173,9.56939754486084,11.687463474273681,13.512693977355957,15.009668350219727,16.472120666503905,18.296711921691895,19.897564697265626,22.954665374755866,72,12,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
14.0,72,auto_arima,14.87881376659169,rolling_pre_origin,12,72,hospital/M/short,Healthcare,15.596596717834473,15.596596717834473,7.725869083404541,10.549372482299805,11.86412239074707,14.252479934692383,15.596596717834473,17.33495635986328,19.959021186828615,22.28400764465332,28.710810279846196,72,12,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
6.0,72,auto_arima,14.488947584799787,rolling_pre_origin,12,72,hospital/M/short,Healthcare,14.433996677398682,14.433996677398682,6.104166030883789,8.285430335998536,9.966828441619873,11.421833801269532,14.433996677398682,16.74709548950195,17.901674652099608,20.817245864868163,24.974760627746598,72,12,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
15.0,72,auto_arima,14.216226362000198,rolling_pre_origin,12,72,hospital/M/short,Healthcare,12.553528785705566,12.553528785705566,6.201548910140991,9.133930206298828,10.15670986175537,11.552989768981934,12.553528785705566,15.071875381469725,17.267510032653806,20.757936096191408,24.66436824798584,72,12,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
21.0,72,auto_arima,14.025450991273114,rolling_pre_origin,12,72,hospital/M/short,Healthcare,13.483966827392578,13.483966827392578,4.791177558898926,7.323239040374756,10.303573036193848,12.595326995849609,13.483966827392578,16.226242065429688,18.223302459716795,21.34119071960449,25.607000350952163,72,12,7,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
17.0,72,auto_arima,13.891998809948738,rolling_pre_origin,12,72,hospital/M/short,Healthcare,15.108219623565674,15.108219623565674,6.5222677230834964,8.80331802368164,10.525837993621826,12.249113655090332,15.108219623565674,16.697563934326173,18.964424514770506,21.71232261657715,25.98062705993653,72,12,8,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
14.0,72,auto_arima,13.798645644745294,rolling_pre_origin,12,72,hospital/M/short,Healthcare,12.431052207946777,12.431052207946777,5.906930780410766,7.924301052093506,9.880708026885987,10.815707015991212,12.431052207946777,13.581579780578613,16.44709644317627,18.879478454589844,22.81936779022217,72,12,9,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
12.0,72,auto_arima,13.73334275222592,rolling_pre_origin,12,72,hospital/M/short,Healthcare,15.2262864112854,15.2262864112854,6.296898269653321,8.63604907989502,11.736213302612304,13.802201461791991,15.2262864112854,17.62513122558594,19.188960075378418,23.146415710449222,27.364745903015137,72,12,10,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,72,external_locked,external_v1_moirai_hospital_m_short_1783883140,T1,gift-eval:unknown;uni2ts:unknown,0
