actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
8720.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6794.972900390625,6794.972900390625,4849.525,5644.267578125,6182.50771484375,6476.1046875,6794.972900390625,7070.07578125,7527.45859375,7781.673828125,8336.2525390625,469,18,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
7790.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6888.610107421875,6888.610107421875,5177.713134765625,5711.816015625,6087.390283203125,6491.694140625,6888.610107421875,7183.630859375,7496.15966796875,7963.83203125,8672.155078125,469,18,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4770.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6109.802978515625,6109.802978515625,4374.974218750001,5027.93173828125,5360.492724609375,5690.50341796875,6109.802978515625,6502.5478515625,7252.0396484375,7642.96279296875,8130.821582031253,469,18,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
5060.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5910.039306640625,5910.039306640625,4525.273779296875,5098.2228515625,5324.711376953125,5616.48544921875,5910.039306640625,6251.76201171875,6610.68173828125,7129.13642578125,7776.39931640625,469,18,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4720.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5685.344970703125,5685.344970703125,4382.461962890625,4853.07216796875,5027.748291015625,5470.592578125,5685.344970703125,5995.022265625,6433.855126953125,6773.1322265625,7658.31591796875,469,18,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4450.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5586.51806640625,5586.51806640625,4098.590625,4654.21572265625,5170.7111328125,5348.22822265625,5586.51806640625,5940.646875,6387.357666015625,7083.39521484375,7764.66064453125,469,18,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
5120.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5718.215087890625,5718.215087890625,3761.5007080078126,4543.983203125,5076.225390625,5430.9443359375,5718.215087890625,5883.38798828125,6193.615576171875,6841.97490234375,7258.880419921876,469,18,7,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
5960.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5587.296875,5587.296875,3928.1624755859375,4400.31328125,4830.37177734375,5249.63359375,5587.296875,5965.3689453125,6233.629931640625,6783.017578125,7185.622900390626,469,18,8,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
6560.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5594.153564453125,5594.153564453125,4405.081103515625,4752.1099609375,5049.38291015625,5248.0771484375,5594.153564453125,5861.01435546875,6250.104150390625,6785.17041015625,7071.494287109375,469,18,9,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4900.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5635.68359375,5635.68359375,4147.512744140625,4597.5474609375,5115.99423828125,5301.0244140625,5635.68359375,6208.28447265625,6653.187402343749,7239.5955078125,7954.281152343751,469,18,10,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4520.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5535.4921875,5535.4921875,4056.375,4577.930078125,5038.431689453125,5257.318359375,5535.4921875,5891.61455078125,6424.772998046875,6774.16171875,7694.358056640625,469,18,11,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
7370.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5881.92919921875,5881.92919921875,4305.99541015625,4868.6890625,5300.861474609375,5460.226171875,5881.92919921875,6351.56533203125,6805.802490234375,7276.68984375,7982.139160156251,469,18,12,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
9050.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6433.477294921875,6433.477294921875,4989.43310546875,5340.91474609375,5757.905908203125,6065.90439453125,6433.477294921875,6903.492578125,7172.079248046874,7892.6140625,8685.183886718753,469,18,13,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
7780.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6245.638916015625,6245.638916015625,4763.562646484375,5172.7744140625,5440.268408203125,5643.279296875,6245.638916015625,6618.59453125,6926.375439453125,7478.45810546875,8772.22060546875,469,18,14,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
5380.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6368.10009765625,6368.10009765625,4863.944140625,5475.8146484375,5721.292578125,5985.0537109375,6368.10009765625,6792.2138671875,7344.172900390625,7903.09609375,8874.72216796875,469,18,15,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4700.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,6150.85107421875,6150.85107421875,4100.196997070312,4462.3703125,5163.5283203125,5594.605078125,6150.85107421875,6494.030859375,7055.206982421874,7490.9115234375,8234.157910156251,469,18,16,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4490.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5976.971923828125,5976.971923828125,4136.609765625,4810.5623046875,5169.79013671875,5626.358984375,5976.971923828125,6312.521875,6694.14306640625,7204.79541015625,8089.9916015625,469,18,17,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
4010.0,469,auto_ets,6889.80200299988,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,5888.29150390625,5888.29150390625,4260.82890625,4893.37646484375,5249.74658203125,5635.83349609375,5888.29150390625,6230.0666015625,6777.438867187499,7211.0626953125,7978.625781250002,469,18,18,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,0,gift-eval:unknown;uni2ts:unknown,0
2090.0,469,auto_ets,2128.647692199363,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2269.8427734375,2269.8427734375,1802.40537109375,1986.14306640625,2074.6256591796873,2176.65576171875,2269.8427734375,2393.825537109375,2530.831103515625,2653.86826171875,2794.9131591796877,469,18,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
2180.0,469,auto_ets,1936.539692533717,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2163.8599853515625,2163.8599853515625,1703.145751953125,1857.8870361328125,1964.0251342773438,2082.401123046875,2163.8599853515625,2277.894775390625,2347.1021484375,2498.2404296875,2675.9015869140626,469,18,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1760.0,469,auto_ets,1980.0247793166536,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2225.2537841796875,2225.2537841796875,1796.9388916015625,1961.1582763671875,2044.797802734375,2134.69453125,2225.2537841796875,2333.450439453125,2507.291845703125,2656.421240234375,2775.1233398437503,469,18,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
2290.0,469,auto_ets,1911.1015119870503,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2154.9130859375,2154.9130859375,1539.6841064453124,1836.270947265625,1974.703173828125,2065.81396484375,2154.9130859375,2223.0298828125,2332.5616943359373,2494.301318359375,2792.8882568359377,469,18,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1500.0,469,auto_ets,1852.3400381532115,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2089.7098388671875,2089.7098388671875,1678.636669921875,1818.313720703125,1915.075634765625,1998.0794189453125,2089.7098388671875,2152.837158203125,2309.6490478515625,2488.2919921875,2649.231689453125,469,18,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1370.0,469,auto_ets,2034.5730945666594,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2159.1982421875,2159.1982421875,1627.311474609375,1844.953125,1937.4363647460937,2061.047607421875,2159.1982421875,2275.40712890625,2359.6046142578125,2475.92138671875,2648.113061523438,469,18,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1810.0,469,auto_ets,2111.5955806271068,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2213.5272216796875,2213.5272216796875,1600.0677001953125,1848.347412109375,2021.8735107421874,2133.06591796875,2213.5272216796875,2273.4138671875,2366.983642578125,2573.2800292968755,2827.982885742188,469,18,7,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1450.0,469,auto_ets,2020.6739333342964,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2128.5074462890625,2128.5074462890625,1545.8186767578125,1778.56279296875,1924.0985595703125,2041.6015869140624,2128.5074462890625,2294.535400390625,2422.7787109375,2634.276220703125,2850.3857177734376,469,18,8,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1370.0,469,auto_ets,2009.9673636907894,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2111.2225341796875,2111.2225341796875,1508.7538818359376,1830.68955078125,1904.7844848632812,2014.7307861328125,2111.2225341796875,2213.700048828125,2342.56982421875,2446.441015625,2714.380590820313,469,18,9,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1380.0,469,auto_ets,1972.7489343734844,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2120.591552734375,2120.591552734375,1565.2313598632813,1735.451904296875,1868.3648437499999,2040.188232421875,2120.591552734375,2231.269921875,2470.3811279296874,2632.78798828125,2918.2282958984374,469,18,10,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1710.0,469,auto_ets,1984.1247176931925,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2149.515380859375,2149.515380859375,1506.0999633789063,1733.057568359375,1917.1986328125,2054.716552734375,2149.515380859375,2235.899951171875,2354.02529296875,2544.166943359375,2886.610986328126,469,18,11,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
2140.0,469,auto_ets,2059.0293117386054,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2279.1046142578125,2279.1046142578125,1557.5521850585938,1793.735546875,1992.1323486328124,2118.70283203125,2279.1046142578125,2397.91640625,2485.475146484375,2589.125537109375,2827.3627929687505,469,18,12,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1870.0,469,auto_ets,2133.398974534696,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2149.056396484375,2149.056396484375,1532.982373046875,1714.301123046875,1890.2312255859374,2021.058544921875,2149.056396484375,2259.18349609375,2370.547607421875,2565.34580078125,2826.1274902343753,469,18,13,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1670.0,469,auto_ets,1944.7318857774433,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2233.3790283203125,2233.3790283203125,1475.634716796875,1728.3760498046875,2037.8967407226562,2134.154638671875,2233.3790283203125,2441.4818359375,2618.95498046875,2885.171240234375,3078.820996093751,469,18,14,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1800.0,469,auto_ets,1976.718787037974,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2066.8857421875,2066.8857421875,1417.9356567382813,1627.0200439453124,1763.890625,1950.036962890625,2066.8857421875,2201.8833984375,2335.4921386718747,2567.858984375,2813.718115234375,469,18,15,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
1800.0,469,auto_ets,1898.8224565743033,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,2106.2899169921875,2106.2899169921875,1554.8159545898438,1717.3985595703125,1889.2077514648438,1987.8970458984375,2106.2899169921875,2200.810498046875,2306.470263671875,2515.042919921875,2849.0752441406253,469,18,16,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,469,external_locked,external_v1_moirai_m4_monthly_m_short_1783882585,1,gift-eval:unknown;uni2ts:unknown,0
