actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
7290.2001953125,31,auto_arima,7066.887690615971,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7266.5244140625,7266.5244140625,6957.740673828125,7085.0439453125,7133.48779296875,7228.22958984375,7266.5244140625,7304.5255859375,7365.859130859375,7424.76162109375,7525.531103515626,31,6,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,0
7392.60009765625,31,auto_arima,6926.878511992547,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7263.127685546875,7263.127685546875,6933.1232421875,7068.394140625,7154.665185546875,7201.6248046875,7263.127685546875,7310.98515625,7391.764794921875,7472.3650390625,7591.814453125,31,6,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,0
7527.60009765625,31,auto_arima,6825.944846643658,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7265.632568359375,7265.632568359375,6845.621142578125,7007.210546875,7118.947412109375,7203.68369140625,7265.632568359375,7372.48779296875,7469.879833984375,7616.1970703125,7795.93525390625,31,6,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,0
7594.7998046875,31,auto_arima,6753.181011437091,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7348.219970703125,7348.219970703125,6805.325634765625,7003.4916015625,7151.332470703125,7237.36787109375,7348.219970703125,7447.40771484375,7603.1888671875,7748.71865234375,7880.971484375,31,6,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,0
7720.7001953125,31,auto_arima,6700.725017734028,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7303.74755859375,7303.74755859375,6635.49287109375,6916.51953125,7118.63583984375,7197.01015625,7303.74755859375,7482.30146484375,7635.919140625,7790.237109375,8034.23857421875,31,6,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,0
7823.2001953125,31,auto_arima,6662.90909904909,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,7263.9638671875,7263.9638671875,6640.70107421875,6917.326953125,7112.56064453125,7200.412109375,7263.9638671875,7396.328125,7548.384423828125,7684.654296875,7979.259033203125,31,6,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,0
1598.0,31,seasonal_naive_6,1013.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1480.3245239257812,1480.3245239257812,912.3224609375,1117.2135986328126,1245.5326538085938,1389.220751953125,1480.3245239257812,1575.4641357421874,1689.4658325195312,1848.7579345703125,1981.2428710937502,31,6,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,0
1366.0,31,seasonal_naive_6,944.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1575.3643188476562,1575.3643188476562,923.5712097167968,1174.7320068359375,1297.5962280273438,1452.525732421875,1575.3643188476562,1671.833203125,1737.2039062499998,1904.3670654296875,2105.2451171875005,31,6,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,0
1288.0,31,seasonal_naive_6,861.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1438.9048461914062,1438.9048461914062,886.6941650390626,1125.6463867187501,1297.419873046875,1383.11474609375,1438.9048461914062,1529.81669921875,1642.496826171875,1780.7519042968752,2276.2640869140637,31,6,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,0
1148.0,31,seasonal_naive_6,1002.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1397.7850341796875,1397.7850341796875,564.4424926757813,927.5751708984375,1171.6339477539063,1286.9227294921875,1397.7850341796875,1569.1475341796875,1767.507080078125,1995.0484619140627,2345.3814453125,31,6,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,0
1139.0,31,seasonal_naive_6,1302.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1472.2137451171875,1472.2137451171875,864.6714782714844,1057.2988037109376,1283.1199829101563,1397.560546875,1472.2137451171875,1598.2486572265625,1748.312170410156,2039.83798828125,2405.7369384765625,31,6,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,0
1062.0,31,seasonal_naive_6,1603.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,1472.6264038085938,1472.6264038085938,492.22951049804686,818.282373046875,1141.2851806640624,1291.542822265625,1472.6264038085938,1545.938720703125,1755.701611328125,1902.887744140625,2282.5649902343757,31,6,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,0
8440.0,31,auto_arima,8567.333333333332,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,8645.146484375,8645.146484375,8400.86787109375,8495.919140625,8557.65927734375,8602.6884765625,8645.146484375,8680.13828125,8721.5072265625,8765.116796875,8852.91435546875,31,6,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,0
8660.0,31,auto_arima,8754.666666666666,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,8793.79736328125,8793.79736328125,8502.86572265625,8583.2568359375,8670.5732421875,8733.671484375,8793.79736328125,8878.016796875,8949.23037109375,9048.1685546875,9191.68369140625,31,6,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,0
8780.0,31,auto_arima,8942.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,9003.1513671875,9003.1513671875,8556.90751953125,8735.5251953125,8832.0353515625,8892.151953125,9003.1513671875,9066.425390625,9173.2884765625,9314.591015625,9507.44638671875,31,6,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,0
8830.0,31,auto_arima,9129.333333333332,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,9294.77392578125,9294.77392578125,8578.829296875,8917.5865234375,9023.85498046875,9177.58046875,9294.77392578125,9402.1072265625,9517.80986328125,9675.291015625,9901.4828125,31,6,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,0
8990.0,31,auto_arima,9316.666666666666,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,9444.86328125,9444.86328125,8520.07998046875,8945.8732421875,9125.024609375,9317.85546875,9444.86328125,9555.65390625,9643.79501953125,9782.451171875,10017.6048828125,31,6,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,0
9230.0,31,auto_arima,9504.0,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,9618.26611328125,9618.26611328125,8924.465234375,9154.655078125,9369.62939453125,9507.1865234375,9618.26611328125,9786.826171875,9977.76513671875,10202.33125,10585.11142578125,31,6,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,0
9540.0,31,auto_arima,9858.828904090335,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,9962.013671875,9962.013671875,9643.9337890625,9730.2890625,9786.76767578125,9868.0568359375,9962.013671875,10003.0599609375,10060.90791015625,10119.1080078125,10230.5701171875,31,6,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,3,gift-eval:unknown;uni2ts:unknown,0
9790.0,31,auto_arima,10229.847508504587,rolling_pre_origin,6,31,m4_yearly/A-DEC/short,Econ/Fin,10126.06640625,10126.06640625,9650.52021484375,9839.7560546875,9949.1431640625,10056.21015625,10126.06640625,10224.35234375,10288.2794921875,10381.05859375,10486.878125,31,6,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,31,external_locked,external_v1_moirai_m4_yearly_a_short_1783882546,3,gift-eval:unknown;uni2ts:unknown,0
