baseline_context_cap,baseline_context_length,baseline_context_values,baseline_family,baseline_mode,baseline_season_length,context_length,context_values,dataset,full_context_length,full_context_values,horizon,model,model_id,origin,run_id,series_id,source_commit,target_values,window_index
2048,31,"[5172.10009765625, 5133.5, 5186.89990234375, 5084.60009765625, 5182.0, 5414.2998046875, 5576.2001953125, 5752.89990234375, 5955.2001953125, 6087.7998046875, 6238.89990234375, 6317.2001953125, 6262.7001953125, 6361.0, 6427.39990234375, 6654.89990234375, 6835.39990234375, 6925.5, 7073.5, 7144.0, 7230.60009765625, 7349.60009765625, 7339.2001953125, 7250.7998046875, 7294.60009765625, 7393.89990234375, 7560.89990234375, 7651.39990234375, 7587.2998046875, 7530.5, 7261.10009765625]",auto_arima,rolling_pre_origin,6,31,"[5172.10009765625, 5133.5, 5186.89990234375, 5084.60009765625, 5182.0, 5414.2998046875, 5576.2001953125, 5752.89990234375, 5955.2001953125, 6087.7998046875, 6238.89990234375, 6317.2001953125, 6262.7001953125, 6361.0, 6427.39990234375, 6654.89990234375, 6835.39990234375, 6925.5, 7073.5, 7144.0, 7230.60009765625, 7349.60009765625, 7339.2001953125, 7250.7998046875, 7294.60009765625, 7393.89990234375, 7560.89990234375, 7651.39990234375, 7587.2998046875, 7530.5, 7261.10009765625]",m4_yearly/A-DEC/short,31,"[5172.10009765625, 5133.5, 5186.89990234375, 5084.60009765625, 5182.0, 5414.2998046875, 5576.2001953125, 5752.89990234375, 5955.2001953125, 6087.7998046875, 6238.89990234375, 6317.2001953125, 6262.7001953125, 6361.0, 6427.39990234375, 6654.89990234375, 6835.39990234375, 6925.5, 7073.5, 7144.0, 7230.60009765625, 7349.60009765625, 7339.2001953125, 7250.7998046875, 7294.60009765625, 7393.89990234375, 7560.89990234375, 7651.39990234375, 7587.2998046875, 7530.5, 7261.10009765625]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,31,external_v1_moirai_m4_yearly_a_short_1783882546,0,gift-eval:unknown;uni2ts:unknown,"[7290.2001953125, 7392.60009765625, 7527.60009765625, 7594.7998046875, 7720.7001953125, 7823.2001953125]",0
2048,31,"[2070.0, 2104.0, 2394.0, 1651.0, 1492.0, 1348.0, 1198.0, 1192.0, 1105.0, 1008.0, 994.0, 1420.0, 1582.0, 1286.0, 1133.0, 1322.0, 1157.0, 1244.0, 1843.0, 1794.0, 1426.0, 1170.0, 1021.0, 997.0, 1062.0, 1013.0, 944.0, 861.0, 1002.0, 1302.0, 1603.0]",seasonal_naive_6,rolling_pre_origin,6,31,"[2070.0, 2104.0, 2394.0, 1651.0, 1492.0, 1348.0, 1198.0, 1192.0, 1105.0, 1008.0, 994.0, 1420.0, 1582.0, 1286.0, 1133.0, 1322.0, 1157.0, 1244.0, 1843.0, 1794.0, 1426.0, 1170.0, 1021.0, 997.0, 1062.0, 1013.0, 944.0, 861.0, 1002.0, 1302.0, 1603.0]",m4_yearly/A-DEC/short,31,"[2070.0, 2104.0, 2394.0, 1651.0, 1492.0, 1348.0, 1198.0, 1192.0, 1105.0, 1008.0, 994.0, 1420.0, 1582.0, 1286.0, 1133.0, 1322.0, 1157.0, 1244.0, 1843.0, 1794.0, 1426.0, 1170.0, 1021.0, 997.0, 1062.0, 1013.0, 944.0, 861.0, 1002.0, 1302.0, 1603.0]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,31,external_v1_moirai_m4_yearly_a_short_1783882546,1,gift-eval:unknown;uni2ts:unknown,"[1598.0, 1366.0, 1288.0, 1148.0, 1139.0, 1062.0]",0
2048,31,"[2760.0, 2980.0, 3200.0, 3450.0, 3670.0, 3850.0, 4000.0, 4160.0, 4290.0, 4530.0, 4720.0, 4890.0, 5070.0, 5220.0, 5420.0, 5660.0, 5820.0, 5940.0, 6070.0, 6200.0, 6520.0, 6690.0, 6930.0, 7060.0, 7230.0, 7430.0, 7480.0, 7730.0, 7900.0, 8220.0, 8380.0]",auto_arima,rolling_pre_origin,6,31,"[2760.0, 2980.0, 3200.0, 3450.0, 3670.0, 3850.0, 4000.0, 4160.0, 4290.0, 4530.0, 4720.0, 4890.0, 5070.0, 5220.0, 5420.0, 5660.0, 5820.0, 5940.0, 6070.0, 6200.0, 6520.0, 6690.0, 6930.0, 7060.0, 7230.0, 7430.0, 7480.0, 7730.0, 7900.0, 8220.0, 8380.0]",m4_yearly/A-DEC/short,31,"[2760.0, 2980.0, 3200.0, 3450.0, 3670.0, 3850.0, 4000.0, 4160.0, 4290.0, 4530.0, 4720.0, 4890.0, 5070.0, 5220.0, 5420.0, 5660.0, 5820.0, 5940.0, 6070.0, 6200.0, 6520.0, 6690.0, 6930.0, 7060.0, 7230.0, 7430.0, 7480.0, 7730.0, 7900.0, 8220.0, 8380.0]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,31,external_v1_moirai_m4_yearly_a_short_1783882546,2,gift-eval:unknown;uni2ts:unknown,"[8440.0, 8660.0, 8780.0, 8830.0, 8990.0, 9230.0]",0
2048,31,"[3380.0, 3670.0, 3960.0, 4190.0, 4440.0, 4700.0, 4890.0, 5060.0, 5200.0, 5490.0, 5690.0, 5910.0, 6120.0, 6340.0, 6530.0, 6710.0, 6850.0, 6980.0, 7130.0, 7320.0, 7630.0, 7710.0, 7990.0, 8070.0, 8340.0, 8570.0, 8530.0, 8970.0, 9090.0, 9440.0, 9670.0]",auto_arima,rolling_pre_origin,6,31,"[3380.0, 3670.0, 3960.0, 4190.0, 4440.0, 4700.0, 4890.0, 5060.0, 5200.0, 5490.0, 5690.0, 5910.0, 6120.0, 6340.0, 6530.0, 6710.0, 6850.0, 6980.0, 7130.0, 7320.0, 7630.0, 7710.0, 7990.0, 8070.0, 8340.0, 8570.0, 8530.0, 8970.0, 9090.0, 9440.0, 9670.0]",m4_yearly/A-DEC/short,31,"[3380.0, 3670.0, 3960.0, 4190.0, 4440.0, 4700.0, 4890.0, 5060.0, 5200.0, 5490.0, 5690.0, 5910.0, 6120.0, 6340.0, 6530.0, 6710.0, 6850.0, 6980.0, 7130.0, 7320.0, 7630.0, 7710.0, 7990.0, 8070.0, 8340.0, 8570.0, 8530.0, 8970.0, 9090.0, 9440.0, 9670.0]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,31,external_v1_moirai_m4_yearly_a_short_1783882546,3,gift-eval:unknown;uni2ts:unknown,"[9540.0, 9790.0, 9940.0, 9940.0, 10110.0, 10400.0]",0
2048,31,"[1980.0, 2030.0, 2220.0, 2530.0, 2610.0, 2720.0, 2970.0, 2980.0, 3100.0, 3230.0, 3340.0, 3430.0, 3810.0, 3780.0, 3930.0, 3840.0, 3890.0, 3840.0, 3930.0, 4050.0, 4040.0, 4630.0, 4880.0, 5020.0, 5160.0, 5600.0, 5690.0, 5830.0, 6050.0, 6440.0, 6840.0]",auto_arima,rolling_pre_origin,6,31,"[1980.0, 2030.0, 2220.0, 2530.0, 2610.0, 2720.0, 2970.0, 2980.0, 3100.0, 3230.0, 3340.0, 3430.0, 3810.0, 3780.0, 3930.0, 3840.0, 3890.0, 3840.0, 3930.0, 4050.0, 4040.0, 4630.0, 4880.0, 5020.0, 5160.0, 5600.0, 5690.0, 5830.0, 6050.0, 6440.0, 6840.0]",m4_yearly/A-DEC/short,31,"[1980.0, 2030.0, 2220.0, 2530.0, 2610.0, 2720.0, 2970.0, 2980.0, 3100.0, 3230.0, 3340.0, 3430.0, 3810.0, 3780.0, 3930.0, 3840.0, 3890.0, 3840.0, 3930.0, 4050.0, 4040.0, 4630.0, 4880.0, 5020.0, 5160.0, 5600.0, 5690.0, 5830.0, 6050.0, 6440.0, 6840.0]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,31,external_v1_moirai_m4_yearly_a_short_1783882546,4,gift-eval:unknown;uni2ts:unknown,"[6840.0, 7420.0, 7570.0, 8010.0, 8240.0, 8730.0]",0
2048,19,"[1988.6500244140625, 2073.590087890625, 2144.0400390625, 2147.85009765625, 2180.72998046875, 2240.889892578125, 2311.2099609375, 2392.7099609375, 2470.7099609375, 2572.7099609375, 2718.47998046875, 2778.760009765625, 2903.93994140625, 2918.89990234375, 2977.389892578125, 3062.050048828125, 3151.340087890625, 3361.469970703125, 4009.2099609375]",auto_ets,rolling_pre_origin,6,19,"[1988.6500244140625, 2073.590087890625, 2144.0400390625, 2147.85009765625, 2180.72998046875, 2240.889892578125, 2311.2099609375, 2392.7099609375, 2470.7099609375, 2572.7099609375, 2718.47998046875, 2778.760009765625, 2903.93994140625, 2918.89990234375, 2977.389892578125, 3062.050048828125, 3151.340087890625, 3361.469970703125, 4009.2099609375]",m4_yearly/A-DEC/short,19,"[1988.6500244140625, 2073.590087890625, 2144.0400390625, 2147.85009765625, 2180.72998046875, 2240.889892578125, 2311.2099609375, 2392.7099609375, 2470.7099609375, 2572.7099609375, 2718.47998046875, 2778.760009765625, 2903.93994140625, 2918.89990234375, 2977.389892578125, 3062.050048828125, 3151.340087890625, 3361.469970703125, 4009.2099609375]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,19,external_v1_moirai_m4_yearly_a_short_1783882546,5,gift-eval:unknown;uni2ts:unknown,"[3751.7900390625, 3854.5400390625, 4003.449951171875, 4229.1201171875, 4502.0498046875, 4741.77001953125]",0
2048,19,"[2158.9599609375, 2216.7099609375, 2252.75, 2217.929931640625, 2215.010009765625, 2235.280029296875, 2282.0, 2328.25, 2343.31005859375, 2405.1201171875, 2502.39990234375, 2521.06005859375, 2604.739990234375, 2620.89990234375, 2640.2900390625, 2698.929931640625, 2748.1201171875, 2912.2900390625, 3669.4599609375]",auto_ets,rolling_pre_origin,6,19,"[2158.9599609375, 2216.7099609375, 2252.75, 2217.929931640625, 2215.010009765625, 2235.280029296875, 2282.0, 2328.25, 2343.31005859375, 2405.1201171875, 2502.39990234375, 2521.06005859375, 2604.739990234375, 2620.89990234375, 2640.2900390625, 2698.929931640625, 2748.1201171875, 2912.2900390625, 3669.4599609375]",m4_yearly/A-DEC/short,19,"[2158.9599609375, 2216.7099609375, 2252.75, 2217.929931640625, 2215.010009765625, 2235.280029296875, 2282.0, 2328.25, 2343.31005859375, 2405.1201171875, 2502.39990234375, 2521.06005859375, 2604.739990234375, 2620.89990234375, 2640.2900390625, 2698.929931640625, 2748.1201171875, 2912.2900390625, 3669.4599609375]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,19,external_v1_moirai_m4_yearly_a_short_1783882546,6,gift-eval:unknown;uni2ts:unknown,"[3169.239990234375, 3188.3701171875, 3231.050048828125, 3318.340087890625, 3430.449951171875, 3540.679931640625]",0
2048,19,"[2164.7099609375, 2169.77001953125, 2240.050048828125, 2294.090087890625, 2327.139892578125, 2351.639892578125, 2368.5400390625, 2364.419921875, 2344.550048828125, 2347.719970703125, 2419.64990234375, 2396.56005859375, 2374.4599609375, 2371.93994140625, 2367.110107421875, 2358.06005859375, 2343.010009765625, 2347.409912109375, 2400.9599609375]",naive,rolling_pre_origin,6,19,"[2164.7099609375, 2169.77001953125, 2240.050048828125, 2294.090087890625, 2327.139892578125, 2351.639892578125, 2368.5400390625, 2364.419921875, 2344.550048828125, 2347.719970703125, 2419.64990234375, 2396.56005859375, 2374.4599609375, 2371.93994140625, 2367.110107421875, 2358.06005859375, 2343.010009765625, 2347.409912109375, 2400.9599609375]",m4_yearly/A-DEC/short,19,"[2164.7099609375, 2169.77001953125, 2240.050048828125, 2294.090087890625, 2327.139892578125, 2351.639892578125, 2368.5400390625, 2364.419921875, 2344.550048828125, 2347.719970703125, 2419.64990234375, 2396.56005859375, 2374.4599609375, 2371.93994140625, 2367.110107421875, 2358.06005859375, 2343.010009765625, 2347.409912109375, 2400.9599609375]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,19,external_v1_moirai_m4_yearly_a_short_1783882546,7,gift-eval:unknown;uni2ts:unknown,"[2357.800048828125, 2357.18994140625, 2359.219970703125, 2346.7900390625, 2349.570068359375, 2352.889892578125]",0
2048,19,"[1921.43701171875, 1930.9100341796875, 1962.385009765625, 1958.3819580078125, 1969.5780029296875, 1976.89599609375, 1987.06201171875, 2005.699951171875, 2022.4410400390625, 2052.031005859375, 2099.408935546875, 2105.193115234375, 2117.64501953125, 2122.330078125, 2124.89697265625, 2134.967041015625, 2150.077880859375, 2184.4541015625, 2290.3720703125]",auto_arima,rolling_pre_origin,6,19,"[1921.43701171875, 1930.9100341796875, 1962.385009765625, 1958.3819580078125, 1969.5780029296875, 1976.89599609375, 1987.06201171875, 2005.699951171875, 2022.4410400390625, 2052.031005859375, 2099.408935546875, 2105.193115234375, 2117.64501953125, 2122.330078125, 2124.89697265625, 2134.967041015625, 2150.077880859375, 2184.4541015625, 2290.3720703125]",m4_yearly/A-DEC/short,19,"[1921.43701171875, 1930.9100341796875, 1962.385009765625, 1958.3819580078125, 1969.5780029296875, 1976.89599609375, 1987.06201171875, 2005.699951171875, 2022.4410400390625, 2052.031005859375, 2099.408935546875, 2105.193115234375, 2117.64501953125, 2122.330078125, 2124.89697265625, 2134.967041015625, 2150.077880859375, 2184.4541015625, 2290.3720703125]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,19,external_v1_moirai_m4_yearly_a_short_1783882546,8,gift-eval:unknown;uni2ts:unknown,"[2234.89111328125, 2235.60498046875, 2234.681884765625, 2232.18505859375, 2217.826904296875, 2206.2119140625]",0
2048,19,"[1972.008056640625, 1997.89697265625, 2016.821044921875, 2030.9029541015625, 2047.4549560546875, 2040.738037109375, 2058.68310546875, 2076.498046875, 2076.64208984375, 2081.677001953125, 2133.199951171875, 2130.783935546875, 2120.294921875, 2117.319091796875, 2115.846923828125, 2097.97802734375, 2080.3310546875, 2131.7119140625, 2330.470947265625]",auto_arima,rolling_pre_origin,6,19,"[1972.008056640625, 1997.89697265625, 2016.821044921875, 2030.9029541015625, 2047.4549560546875, 2040.738037109375, 2058.68310546875, 2076.498046875, 2076.64208984375, 2081.677001953125, 2133.199951171875, 2130.783935546875, 2120.294921875, 2117.319091796875, 2115.846923828125, 2097.97802734375, 2080.3310546875, 2131.7119140625, 2330.470947265625]",m4_yearly/A-DEC/short,19,"[1972.008056640625, 1997.89697265625, 2016.821044921875, 2030.9029541015625, 2047.4549560546875, 2040.738037109375, 2058.68310546875, 2076.498046875, 2076.64208984375, 2081.677001953125, 2133.199951171875, 2130.783935546875, 2120.294921875, 2117.319091796875, 2115.846923828125, 2097.97802734375, 2080.3310546875, 2131.7119140625, 2330.470947265625]",6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,19,external_v1_moirai_m4_yearly_a_short_1783882546,9,gift-eval:unknown;uni2ts:unknown,"[2170.2041015625, 2162.89990234375, 2181.906005859375, 2167.47509765625, 2135.7080078125, 2122.196044921875]",0
