actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
27.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,25.398324012756348,25.398324012756348,14.75675916671753,17.560135650634766,19.415547561645507,22.36464500427246,25.398324012756348,28.720619201660156,30.492689514160155,32.8971435546875,37.451524353027345,436,30,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
20.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,20.861186027526855,20.861186027526855,9.900629806518555,13.714404678344728,15.986489009857177,18.00931625366211,20.861186027526855,24.672679901123047,29.08145351409912,33.80418014526367,39.079734802246094,436,30,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
nan,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,15.883147239685059,15.883147239685059,6.784651374816895,10.180902481079102,11.362705612182618,14.179034996032716,15.883147239685059,17.756561279296875,21.409570312499998,25.20260887145996,29.06906127929688,436,30,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
6.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,15.210164070129395,15.210164070129395,6.247697448730469,9.578787803649902,11.249583625793457,13.19049301147461,15.210164070129395,16.717632293701172,18.58541946411133,21.931751632690432,26.887147331237806,436,30,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
18.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,14.783877849578857,14.783877849578857,5.527879905700684,8.841959190368652,11.721303462982178,13.757611274719238,14.783877849578857,16.31447830200195,17.81058692932129,20.64896812438965,28.070129203796387,436,30,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
20.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,16.63974666595459,16.63974666595459,5.2875213623046875,9.830689620971679,12.466935443878173,14.729577255249025,16.63974666595459,18.25178680419922,21.924643325805665,25.62440338134766,29.659139823913577,436,30,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
20.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,18.528674125671387,18.528674125671387,7.909014511108399,10.33618221282959,14.164441013336182,16.46193084716797,18.528674125671387,20.23216552734375,24.423829841613767,28.64744682312012,32.800576400756846,436,30,7,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
31.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,25.102307319641113,25.102307319641113,10.441624736785888,16.493123626708986,19.30153694152832,21.820802307128908,25.102307319641113,28.182986450195312,31.916724777221678,35.61974258422852,39.52269668579102,436,30,8,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
32.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,24.35978603363037,24.35978603363037,10.802288055419922,14.712732887268066,17.38792552947998,21.114602661132814,24.35978603363037,28.690608596801756,31.0592357635498,36.400448608398435,44.5345100402832,436,30,9,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
4.0,436,auto_ets,17.183269395887315,rolling_pre_origin,30,436,restaurant/D/short,Sales,15.87869119644165,15.87869119644165,4.8269905090332035,8.125279235839844,12.499623680114746,13.804849624633789,15.87869119644165,18.265715026855467,21.00377197265625,25.271491241455077,31.66876983642578,436,30,10,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,436,external_locked,external_v1_moirai_restaurant_d_short_1783887286,air_ba937bf13d40fb24,gift-eval:unknown;uni2ts:unknown,0
