actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q00,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
145.0,2048,seasonal_naive_48,112.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,137.37301635742188,137.37301635742188,133.5999755859375,113.74394989013672,123.07548522949219,128.34463500976562,132.86837768554688,137.37301635742188,141.17767333984375,146.54861450195312,153.35919189453125,166.23529052734375,9938,480,1,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
163.0,2048,seasonal_naive_48,114.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,132.22802734375,132.22802734375,129.51092529296875,99.14805603027344,111.50623321533203,118.28673553466797,125.67040252685547,132.22802734375,138.41131591796875,146.33273315429688,154.66812133789062,171.96786499023438,9938,480,2,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
154.0,2048,seasonal_naive_48,117.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,126.87544250488281,126.87544250488281,122.45293426513672,85.3990478515625,99.97344207763672,110.02757263183594,118.54156494140625,126.87544250488281,134.8096923828125,144.3078155517578,156.501953125,176.19969177246094,9938,480,3,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
157.0,2048,seasonal_naive_48,121.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,122.52263641357422,122.52263641357422,118.34173583984375,73.66661071777344,91.12248229980469,102.63021850585938,112.47789764404297,122.52263641357422,132.78677368164062,143.66603088378906,156.95062255859375,180.8249053955078,9938,480,4,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
156.0,2048,seasonal_naive_48,126.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,116.81295776367188,116.81295776367188,113.37836456298828,61.92697525024414,81.0516357421875,93.78292846679688,105.40637969970703,116.81295776367188,128.39874267578125,141.32366943359375,157.03457641601562,182.027587890625,9938,480,5,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
122.0,2048,seasonal_naive_48,123.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,113.37065887451172,113.37065887451172,109.31735229492188,52.98052215576172,73.55799865722656,88.43634033203125,100.757568359375,113.37065887451172,126.2176284790039,140.10440063476562,157.4782257080078,186.12913513183594,9938,480,6,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
86.0,2048,seasonal_naive_48,116.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,110.34590911865234,110.34590911865234,105.73968505859375,46.20335388183594,68.32613372802734,83.25029754638672,97.0770263671875,110.34590911865234,124.73915100097656,140.3573455810547,157.6107177734375,188.5509033203125,9938,480,7,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
20.0,2048,seasonal_naive_48,108.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,108.11351013183594,108.11351013183594,103.73417663574219,41.188720703125,63.24913024902344,80.27238464355469,94.25933837890625,108.11351013183594,123.51078796386719,139.33731079101562,159.27166748046875,190.99908447265625,9938,480,8,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
16.0,2048,seasonal_naive_48,108.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,106.54737091064453,106.54737091064453,102.91094970703125,37.34538269042969,60.50413131713867,76.499755859375,91.49099731445312,106.54737091064453,122.78922271728516,140.6371307373047,160.4573974609375,192.96864318847656,9938,480,9,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
12.0,2048,seasonal_naive_48,118.0,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,104.40972900390625,104.40972900390625,101.37628173828125,32.6475830078125,56.44850158691406,72.36784362792969,88.76824188232422,104.40972900390625,121.3749008178711,140.07635498046875,161.04110717773438,194.49095153808594,9938,480,10,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,9938,external_locked,external_v1_timesfm_kdd_cup_2018_h_medium_1784637739,T1,gift-eval:unknown;timesfm:unknown,0
