actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q00,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
11500.0,666,auto_arima,11434.54666919588,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,11317.8349609375,11317.8349609375,11249.5849609375,11085.0556640625,11176.150390625,11233.9375,11270.3994140625,11317.8349609375,11360.2958984375,11398.259765625,11463.66015625,11595.431640625,666,18,1,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
11300.0,666,auto_arima,11396.367723836482,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,11207.361328125,11207.361328125,11157.658203125,10912.296875,11015.1376953125,11078.2763671875,11152.8359375,11207.361328125,11262.484375,11356.986328125,11409.2587890625,11550.873046875,666,18,2,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
11200.0,666,auto_arima,11336.214208711583,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,11075.6044921875,11075.6044921875,11034.75390625,10695.671875,10836.9873046875,10933.916015625,11003.7646484375,11075.6044921875,11158.3642578125,11237.681640625,11344.6328125,11476.5966796875,666,18,3,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
11000.0,666,auto_arima,11296.26252910536,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10966.6884765625,10966.6884765625,10944.9130859375,10504.87890625,10682.2939453125,10798.6298828125,10879.85546875,10966.6884765625,11069.474609375,11147.458984375,11247.5576171875,11404.7216796875,666,18,4,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10900.0,666,auto_arima,11271.484705290228,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10855.046875,10855.046875,10863.197265625,10339.8076171875,10524.4384765625,10657.4052734375,10767.9384765625,10855.046875,10965.900390625,11065.2578125,11182.595703125,11366.697265625,666,18,5,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10900.0,666,auto_arima,11221.598135517153,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10743.8798828125,10743.8798828125,10749.841796875,10166.462890625,10397.3662109375,10555.021484375,10655.8291015625,10743.8798828125,10864.955078125,10951.2919921875,11104.3876953125,11291.1796875,666,18,6,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10700.0,666,auto_arima,11163.427732553695,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10618.162109375,10618.162109375,10554.521484375,9990.6796875,10209.2255859375,10368.8193359375,10511.435546875,10618.162109375,10730.794921875,10860.8583984375,10981.5517578125,11213.388671875,666,18,7,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10400.0,666,auto_arima,11118.76414097159,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10498.845703125,10498.845703125,10452.0791015625,9835.70703125,10073.3955078125,10266.0078125,10396.3427734375,10498.845703125,10615.21484375,10734.4541015625,10907.2080078125,11159.5849609375,666,18,8,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10200.0,666,auto_arima,11132.737557097276,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10453.533203125,10453.533203125,10390.525390625,9751.65625,10027.4189453125,10201.0830078125,10336.642578125,10453.533203125,10583.62890625,10723.83984375,10879.609375,11160.6513671875,666,18,9,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10100.0,666,auto_arima,11101.026641724417,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10428.7099609375,10428.7099609375,10455.9111328125,9641.7890625,9944.8408203125,10138.1259765625,10288.8154296875,10428.7099609375,10552.595703125,10713.205078125,10875.98046875,11196.8056640625,666,18,10,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10100.0,666,auto_arima,11093.59360537058,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10463.12109375,10463.12109375,10429.7255859375,9652.498046875,9959.66796875,10151.96875,10322.791015625,10463.12109375,10625.1748046875,10781.9736328125,10984.478515625,11270.880859375,666,18,11,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
10200.0,666,auto_arima,11074.642267462705,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,10496.4853515625,10496.4853515625,10495.0244140625,9645.8525390625,9974.6650390625,10145.6796875,10342.7626953125,10496.4853515625,10670.626953125,10858.4033203125,11035.4326171875,11385.001953125,666,18,12,timesfm_2_5,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,666,external_locked,external_v1_timesfm_m4_monthly_m_short_1783975332,5,gift-eval:unknown;timesfm:unknown,0
