actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
1190.0,182,auto_ets,1201.4376069453617,auto_ets,1,182,covid_deaths/D/short,Healthcare,1213.458251953125,1213.458251953125,1178.8406982421875,1195.9870849609374,1199.551318359375,1209.6802978515625,1213.458251953125,1216.0254150390624,1219.01357421875,1223.3355712890625,1229.450732421875,182,30,1,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1211.0,182,auto_ets,1216.873409044966,auto_ets,1,182,covid_deaths/D/short,Healthcare,1227.322265625,1227.322265625,1205.2732543945312,1208.0052490234375,1214.736572265625,1223.586181640625,1227.322265625,1231.435546875,1237.4122314453125,1243.9166748046875,1250.8934692382813,182,30,2,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1225.0,182,auto_ets,1232.3092111445699,auto_ets,1,182,covid_deaths/D/short,Healthcare,1248.7626342773438,1248.7626342773438,1202.69833984375,1219.9089599609374,1235.8226196289063,1240.594775390625,1248.7626342773438,1250.9011962890625,1254.9181762695312,1261.38564453125,1265.7898071289062,182,30,3,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1248.0,182,auto_ets,1247.745013244174,auto_ets,1,182,covid_deaths/D/short,Healthcare,1251.8519897460938,1251.8519897460938,1206.7282958984374,1228.2026123046876,1239.586083984375,1245.5132568359375,1251.8519897460938,1255.30400390625,1263.0432739257812,1273.59970703125,1281.1020751953124,182,30,4,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1259.0,182,auto_ets,1263.1808153437782,auto_ets,1,182,covid_deaths/D/short,Healthcare,1266.5401611328125,1266.5401611328125,1221.9471435546875,1238.200390625,1252.5476806640625,1258.9025390625,1266.5401611328125,1271.2049560546875,1279.55166015625,1290.498583984375,1310.2908935546875,182,30,5,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1269.0,182,auto_ets,1278.6166174433824,auto_ets,1,182,covid_deaths/D/short,Healthcare,1285.6533203125,1285.6533203125,1250.4618896484376,1271.3239990234374,1278.1046142578125,1283.0277099609375,1285.6533203125,1298.6950927734374,1309.2280029296876,1315.2108642578125,1335.2337646484375,182,30,6,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1270.0,182,auto_ets,1294.0524195429864,auto_ets,1,182,covid_deaths/D/short,Healthcare,1312.4542236328125,1312.4542236328125,1257.47685546875,1269.8901611328124,1291.302734375,1302.633935546875,1312.4542236328125,1317.7809814453126,1325.1060791015625,1341.7670654296876,1357.6591064453125,182,30,7,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1271.0,182,auto_ets,1309.4882216425906,auto_ets,1,182,covid_deaths/D/short,Healthcare,1332.1366577148438,1332.1366577148438,1266.675634765625,1302.9000732421875,1313.5083251953124,1320.6251220703125,1332.1366577148438,1336.8687255859375,1348.1603637695312,1353.420263671875,1376.2107788085937,182,30,8,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1271.0,182,auto_ets,1324.9240237421948,auto_ets,1,182,covid_deaths/D/short,Healthcare,1344.1634521484375,1344.1634521484375,1251.2576171875,1297.3423828125,1316.83388671875,1334.649560546875,1344.1634521484375,1355.07587890625,1370.5808471679688,1375.815771484375,1400.3953491210937,182,30,9,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
1272.0,182,auto_ets,1340.359825841799,auto_ets,1,182,covid_deaths/D/short,Healthcare,1370.74951171875,1370.74951171875,1284.6471313476563,1327.0379150390625,1345.5826782226563,1357.0544189453126,1370.74951171875,1383.812255859375,1404.2260375976562,1413.822509765625,1433.9936645507812,182,30,10,moirai_1_1_base,Salesforce/moirai-1.1-R-base,Salesforce/moirai-1.1-R-base,182,medium_snr_persistent,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618740,T1,gift-eval:unknown;uni2ts:unknown,0
