actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
1190.0,182,auto_ets,1201.4376069453617,auto_ets,1,182,covid_deaths/D/short,Healthcare,1197.3093872070312,1197.3093872070312,1171.0100830078125,1181.022314453125,1185.1502563476563,1192.9149658203125,1197.3093872070312,1204.2583740234375,1214.041162109375,1220.7016845703124,1226.3200317382812,182,30,1,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1211.0,182,auto_ets,1216.873409044966,auto_ets,1,182,covid_deaths/D/short,Healthcare,1226.6622924804688,1226.6622924804688,1180.3631103515625,1190.6085205078125,1210.7077514648438,1217.9954345703125,1226.6622924804688,1232.8737060546875,1243.7323120117187,1246.0417724609374,1256.4285278320312,182,30,2,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1225.0,182,auto_ets,1232.3092111445699,auto_ets,1,182,covid_deaths/D/short,Healthcare,1224.136962890625,1224.136962890625,1171.0950439453125,1190.8499755859375,1212.5101928710938,1215.91923828125,1224.136962890625,1232.65419921875,1245.7376708984375,1253.3931396484375,1263.5812622070312,182,30,3,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1248.0,182,auto_ets,1247.745013244174,auto_ets,1,182,covid_deaths/D/short,Healthcare,1238.2772216796875,1238.2772216796875,1166.7984130859375,1188.4698974609375,1208.6568725585937,1228.1520263671875,1238.2772216796875,1251.069580078125,1258.2496215820313,1270.171728515625,1295.4818725585938,182,30,4,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1259.0,182,auto_ets,1263.1808153437782,auto_ets,1,182,covid_deaths/D/short,Healthcare,1266.0809326171875,1266.0809326171875,1229.8349731445312,1244.70849609375,1250.2677124023437,1254.0027587890625,1266.0809326171875,1271.4995361328124,1276.144677734375,1297.3656982421876,1306.12529296875,182,30,5,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1269.0,182,auto_ets,1278.6166174433824,auto_ets,1,182,covid_deaths/D/short,Healthcare,1283.3414306640625,1283.3414306640625,1227.0174682617187,1248.8833740234375,1254.3213256835938,1274.018017578125,1283.3414306640625,1290.06552734375,1309.70888671875,1325.3046630859376,1339.6439453125,182,30,6,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1270.0,182,auto_ets,1294.0524195429864,auto_ets,1,182,covid_deaths/D/short,Healthcare,1301.2415771484375,1301.2415771484375,1249.26826171875,1266.6925048828125,1286.147119140625,1295.5901123046874,1301.2415771484375,1318.2364990234375,1334.5655883789063,1348.48740234375,1383.3346923828126,182,30,7,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1271.0,182,auto_ets,1309.4882216425906,auto_ets,1,182,covid_deaths/D/short,Healthcare,1332.767822265625,1332.767822265625,1261.6593872070312,1282.0626220703125,1303.79765625,1312.675439453125,1332.767822265625,1343.6222900390626,1359.8497314453125,1376.6865234375,1394.0338745117188,182,30,8,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1271.0,182,auto_ets,1324.9240237421948,auto_ets,1,182,covid_deaths/D/short,Healthcare,1375.5538940429688,1375.5538940429688,1304.885986328125,1323.6626953125,1338.2079833984376,1353.3406982421875,1375.5538940429688,1388.26162109375,1405.1205810546876,1413.738037109375,1426.9011596679688,182,30,9,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1272.0,182,auto_ets,1340.359825841799,auto_ets,1,182,covid_deaths/D/short,Healthcare,1350.9080810546875,1350.9080810546875,1232.8741088867187,1301.9006103515626,1328.0779418945312,1342.0347412109375,1350.9080810546875,1365.2780517578126,1385.9603393554687,1399.5186767578125,1431.258740234375,182,30,10,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1283.0,182,auto_ets,1355.795627941403,auto_ets,1,182,covid_deaths/D/short,Healthcare,1395.0362548828125,1395.0362548828125,1293.086669921875,1308.6296142578126,1348.9059326171875,1361.00791015625,1395.0362548828125,1405.43251953125,1421.9615844726563,1449.698583984375,1467.36943359375,182,30,11,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1284.0,182,auto_ets,1371.2314300410071,auto_ets,1,182,covid_deaths/D/short,Healthcare,1407.618408203125,1407.618408203125,1355.16953125,1370.3726318359375,1386.7370727539062,1391.4318359375,1407.618408203125,1417.13701171875,1433.5945190429688,1459.7401611328125,1476.01845703125,182,30,12,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1288.0,182,auto_ets,1386.6672321406113,auto_ets,1,182,covid_deaths/D/short,Healthcare,1413.0730590820312,1413.0730590820312,1241.7020263671875,1323.742822265625,1364.7942993164063,1382.266796875,1413.0730590820312,1439.7942626953125,1449.1576416015625,1484.4943115234375,1511.0781005859376,182,30,13,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1288.0,182,auto_ets,1402.1030342402155,auto_ets,1,182,covid_deaths/D/short,Healthcare,1427.6840209960938,1427.6840209960938,1248.0094360351563,1366.466796875,1393.7400634765625,1413.20712890625,1427.6840209960938,1438.51767578125,1464.2175048828126,1482.76708984375,1512.94970703125,182,30,14,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
1294.0,182,auto_ets,1417.5388363398197,auto_ets,1,182,covid_deaths/D/short,Healthcare,1416.3477783203125,1416.3477783203125,1214.3256713867188,1330.685107421875,1366.2580810546874,1403.8899169921874,1416.3477783203125,1434.9259033203125,1472.7177734375,1504.5162841796875,1536.8281982421875,182,30,15,moirai_1_1_large,Salesforce/moirai-1.1-R-large,Salesforce/moirai-1.1-R-large,182,medium_snr_persistent,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_1783618786,T1,gift-eval:unknown;uni2ts:unknown,0
