actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q00,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
1190.0,182,auto_ets,1201.4376069453617,auto_ets,1,128,covid_deaths/D/short,Healthcare,1179.810791015625,1179.810791015625,1153.066162109375,1145.8612060546875,1155.884765625,1166.075439453125,1173.2509765625,1179.810791015625,1185.431396484375,1195.730712890625,1205.17333984375,1205.17333984375,182,30,1,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1211.0,182,auto_ets,1216.873409044966,auto_ets,1,128,covid_deaths/D/short,Healthcare,1207.153564453125,1207.153564453125,1184.33251953125,1168.365478515625,1181.62890625,1181.62890625,1193.9818115234375,1207.153564453125,1215.83056640625,1233.637451171875,1235.40234375,1249.6396484375,182,30,2,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1225.0,182,auto_ets,1232.3092111445699,auto_ets,1,128,covid_deaths/D/short,Healthcare,1231.005859375,1231.005859375,1232.029296875,1189.198486328125,1203.947998046875,1215.546875,1226.211181640625,1231.005859375,1232.683837890625,1265.9130859375,1270.457275390625,1289.1805419921875,182,30,3,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1248.0,182,auto_ets,1247.745013244174,auto_ets,1,128,covid_deaths/D/short,Healthcare,1259.7197265625,1259.7197265625,1223.3270263671875,1188.4951171875,1244.4267578125,1251.4984130859375,1251.4984130859375,1259.7197265625,1284.1820068359375,1292.466552734375,1305.4287109375,1351.1641845703125,182,30,4,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1259.0,182,auto_ets,1263.1808153437782,auto_ets,1,128,covid_deaths/D/short,Healthcare,1272.893798828125,1272.893798828125,1229.06787109375,1217.59423828125,1241.17822265625,1253.74755859375,1272.42578125,1272.893798828125,1287.3946533203125,1309.667236328125,1319.547607421875,1354.7197265625,182,30,5,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1269.0,182,auto_ets,1278.6166174433824,auto_ets,1,128,covid_deaths/D/short,Healthcare,1296.439697265625,1296.439697265625,1279.3206787109375,1225.5284423828125,1252.2415771484375,1274.4998779296875,1296.439697265625,1296.439697265625,1308.3037109375,1328.9263916015625,1342.177001953125,1384.271728515625,182,30,6,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1270.0,182,auto_ets,1294.0524195429864,auto_ets,1,128,covid_deaths/D/short,Healthcare,1314.338623046875,1314.338623046875,1268.91064453125,1211.557373046875,1254.067626953125,1260.88525390625,1307.100830078125,1314.338623046875,1314.338623046875,1343.7646484375,1348.6171875,1395.9927978515625,182,30,7,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1271.0,182,auto_ets,1309.4882216425906,auto_ets,1,128,covid_deaths/D/short,Healthcare,1319.357421875,1319.357421875,1303.6781005859375,1213.1513671875,1262.164794921875,1283.595458984375,1307.00830078125,1319.357421875,1320.961181640625,1345.05126953125,1364.8746337890625,1422.8536376953125,182,30,8,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1271.0,182,auto_ets,1324.9240237421948,auto_ets,1,128,covid_deaths/D/short,Healthcare,1352.94970703125,1352.94970703125,1325.147216796875,1263.8658447265625,1302.329345703125,1314.60546875,1338.5667724609375,1352.94970703125,1375.990234375,1397.057861328125,1409.660888671875,1434.3974609375,182,30,9,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
1272.0,182,auto_ets,1340.359825841799,auto_ets,1,128,covid_deaths/D/short,Healthcare,1348.229736328125,1348.229736328125,1316.66455078125,1255.219482421875,1285.880615234375,1312.348388671875,1340.491943359375,1348.229736328125,1359.3021240234375,1380.643310546875,1404.4901123046875,1438.171875,182,30,10,timesfm_2_5_m64,google/timesfm-2.5-200m-pytorch,google/timesfm-2.5-200m-pytorch,182,medium_snr_persistent,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619295,T1,gift-eval:unknown;timesfm:unknown,0
