baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
naive,2048,14.965502421061197,0.4767447838948558,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.7291666666666666,0,0,0.9398459429177413,0.0017457016588371221,7776,48,14.823921203613281,0.4722345372611854,chronos_bolt_small,7776,0,0.060154057082258766,external_locked,0.9905394945344663,25.823460419200874,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_860_dim0,0.0,0
naive,2048,0.28779760996500653,0.47674395946095394,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.7291666666666666,0,0,0.9398456540411302,0.0017457128359775437,7776,48,0.2850750684738159,0.47223400119387604,chronos_bolt_small,7776,0,0.06015434595886985,external_locked,0.9905400830378259,0.4966046412183369,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_860_dim1,0.0,0
auto_arima,2048,11.681519471985036,1.007102627500882,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.875,0,0,0.5821965516320746,0.13852223136006758,7776,48,8.950494448343912,0.7716518812451592,chronos_bolt_small,7776,0,0.41780344836792543,external_locked,0.7662097786001629,12.12779426402089,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_142_dim0,0.3333333333333333,0
auto_arima,2048,0.2246447142752701,1.0071028017370574,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.875,0,0,0.5821964524976408,0.13852228287475832,7776,48,0.1721250315507253,0.7716522602503884,chronos_bolt_small,7776,0,0.41780354750235915,external_locked,0.7662100223691192,0.2332269959143753,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_142_dim1,0.3333333333333333,0
naive,2048,6.502221425374349,0.29825940004530216,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.5625,0,0,0.8962048890552856,0.011570307433124538,7776,48,2.4982716838518777,0.11459668393758655,chronos_bolt_small,7776,0,0.10379511094471444,external_locked,0.38421818028254273,2.5954194802074486,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_347_dim0,0.0,0
naive,2048,0.055555557482875884,0.2982593944176547,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.5625,0,0,0.8962049282103418,0.011570300137208266,7776,48,0.021345452677148085,0.11459666822746331,chronos_bolt_small,7776,0,0.10379507178965816,external_locked,0.384218134852544,0.02217549779989284,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_347_dim1,0.0,0
naive,2048,9584.680785020193,1.0076626424148136,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,1.0,0,0,0.6960106748920882,0.019956856018114685,7776,48,5593.83398326238,0.5880944456296857,chronos_bolt_small,7776,0,0.3039893251079118,external_locked,0.5836223562087669,7564.443625506907,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_277_dim0,0.0,0
naive,2048,46.080209237212934,1.007662703461242,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,1.0,0,0,0.696010877632145,0.019956844819820962,7776,48,26.89344364590943,0.5880945546517816,chronos_bolt_small,7776,0,0.30398912236785497,external_locked,0.5836224290446698,36.367533487269135,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_277_dim1,0.0,0
naive,2048,27.274499495824177,0.5849003993043416,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9166666666666666,0,0,0.9231770708307722,0.0047642108360387535,7776,48,11.935733079910278,0.25596125221283744,chronos_bolt_small,7776,0,0.0768229291692278,external_locked,0.4376151093712002,15.371652157100128,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_758_dim0,0.0,0
naive,2048,0.932142898440361,0.5849003460829958,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9166666666666666,0,0,0.9231770812003719,0.004764209172840178,7776,48,0.40791980425516766,0.25596122127000326,chronos_bolt_small,7776,0,0.07682291879962812,external_locked,0.4376150962875452,0.5253469943335909,external_v1_chronos_bitbrains_fast_storage_5t_short_1784505678,fastStorage_758_dim1,0.0,0
