baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
auto_arima,72,3.40862882721531,0.43056364133240577,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.9166666666666666,0,0,0.9371681043080045,0.005482308022469519,72,12,3.339746634165446,0.4218627327366346,chronos_bolt_small,72,0,0.06283189569199554,external_locked,0.9797918176068712,4.19963988913331,external_v1_chronos_hospital_m_short_1783837009,T1,0.3333333333333333,0
auto_ets,72,3.8325877360216314,0.7254109279534838,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.5833333333333334,0,1,0.9401725655171507,0.0037009241207300245,72,12,6.470920364061992,1.2247798796329528,chronos_bolt_small,72,1,0.05982743448284932,external_locked,1.6883945808315295,7.764024695637881,external_v1_chronos_hospital_m_short_1783837009,T2,0.6666666666666666,0
seasonal_naive_12,72,19.5,0.3808593749999925,rolling_pre_origin,12,72,hospital/M/short,Healthcare,1.0,0,0,0.8573913574218863,0.018623210727966633,72,12,12.846251169840494,0.2509033431609422,chronos_bolt_small,72,0,0.14260864257811362,external_locked,0.6587821112738378,15.870158237360647,external_v1_chronos_hospital_m_short_1783837009,T3,0.0,0
seasonal_naive_12,72,28.916666666666668,1.00289017341037,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.5,0,1,0.9237278921161634,0.005828265021539322,72,12,37.5067507425944,1.3008121644829977,chronos_bolt_small,72,1,0.07627210788383666,external_locked,1.297063426256822,40.555347789511366,external_v1_chronos_hospital_m_short_1783837009,T4,0.0,0
auto_ets,72,4.750000000000001,0.809659090908953,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,0,0.9383101463317978,0.0033813864351504384,72,12,4.47779115041097,0.763259855183558,chronos_bolt_small,72,0,0.06168985366820228,external_locked,0.9426928737705318,5.450375696436236,external_v1_chronos_hospital_m_short_1783837009,T5,0.0,0
auto_arima,72,3.3333333333333335,0.7326007326005717,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.75,0,1,0.9834993830267023,0.00022664074995649395,72,12,3.591939687728882,0.7894372940061741,chronos_bolt_small,72,1,0.016500616973297723,external_locked,1.0775819063183412,4.267493558870764,external_v1_chronos_hospital_m_short_1783837009,T6,0.3333333333333333,0
auto_ets,72,3.3836076784482128,0.8088305207443993,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,0,0.9763548374176075,0.00032811897688645396,72,12,3.2689521312713623,0.7814228202240432,chronos_bolt_small,72,0,0.023645162582392458,external_locked,0.9661144086212737,3.7645304303642417,external_v1_chronos_hospital_m_short_1783837009,T7,0.3333333333333333,0
auto_ets,72,7.6917778682834745,1.237283303208939,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,1,0.9667132504015128,0.0007054462040297993,72,12,8.163926601409912,1.313232161084493,chronos_bolt_small,72,1,0.03328674959848721,external_locked,1.0613835632295427,9.284779471525123,external_v1_chronos_hospital_m_short_1783837009,T8,0.0,0
auto_ets,72,2.97690129424276,0.747339237048204,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.9166666666666666,0,0,0.9322522378737167,0.0029088638460593847,72,12,2.0786046187082925,0.5218254272906537,chronos_bolt_small,72,0,0.06774776212628329,external_locked,0.6982443867815015,2.8940010913117673,external_v1_chronos_hospital_m_short_1783837009,T9,0.6666666666666666,0
naive,72,6.666666666666667,0.9090909090907852,rolling_pre_origin,12,72,hospital/M/short,Healthcare,0.8333333333333334,0,0,0.930962784649585,0.001240811378813935,72,12,5.0306657155354815,0.6859998703001994,chronos_bolt_small,72,0,0.069037215350415,external_locked,0.754599857330209,6.709866078300682,external_v1_chronos_hospital_m_short_1783837009,T10,0.0,0
