baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
seasonal_naive_48,2048,71.15254237288136,0.575988200337006,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.8008474576271186,0,0,0.7190866152187176,0.059953840262672684,9938,480,23.464700791795376,0.18994951311344446,chronos_bolt_small,9938,0,0.2809133847812824,external_locked,0.3297802159875912,34.986046094875654,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T1,0.0,0
auto_arima,2048,46.559404119080874,0.6086196616873237,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.699468085106383,0,0,0.9025162141410379,0.008081499626828501,9938,480,39.2776777287747,0.5134336958009698,chronos_bolt_small,9938,0,0.09748378585896209,external_locked,0.8436035312719382,56.01314941788387,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T2,0.0,0
seasonal_naive_48,2048,27.158458244111348,0.8708122883883119,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.7901498929336188,0,0,0.7248914774074484,0.06439119993154174,9938,480,16.175755073988462,0.5186614853382908,chronos_bolt_small,9938,0,0.27510852259255164,external_locked,0.595606529965492,22.056949784236103,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T3,0.0,0
seasonal_naive_48,2048,1.1384120130423825,0.6493615851046438,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.8068669527896996,0,0,0.8093802824942631,0.025956679412867553,9938,480,0.33774737083221196,0.19265447445727713,chronos_bolt_small,9938,0,0.19061971750573686,external_locked,0.29668289420918215,0.4830898332476448,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T4,0.0,0
seasonal_naive_48,2048,23.266666666666666,1.680662151993859,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.4817204301075269,0,0,0.5471117606115795,0.16263094284995686,9938,480,19.880442695207492,1.436059066019399,chronos_bolt_small,9938,0,0.4528882393884205,external_locked,0.8544602877595977,23.361528124897287,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T5,0.0,0
auto_arima,2048,6.528725893898674,0.3199375629475457,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.6365591397849463,0,1,0.9313658593894423,0.004883256962349609,9938,480,7.1709076522499,0.35140741940579723,chronos_bolt_small,9938,1,0.06863414061055768,external_locked,1.0983624935073886,8.771675574411171,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T6,0.0,0
auto_arima,2048,44.88898952919144,0.7624456820244702,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.6183368869936035,0,0,0.9135346965040945,0.004251966880734891,9938,480,35.24951937254558,0.5987179511260293,chronos_bolt_small,9938,0,0.08646530349590557,external_locked,0.7852598096382171,48.086801238600316,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T7,0.0,0
auto_arima,2048,45.69464888727439,0.9940372293628474,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.4861751152073733,0,1,0.9653565354613913,0.001133228814341489,9938,480,61.960886994814544,1.3478914913895461,chronos_bolt_small,9938,1,0.03464346453860866,external_locked,1.3559768704573374,86.26463481118536,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T8,0.0,0
seasonal_naive_48,2048,23.0406852248394,1.7852346905443188,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.35974304068522484,0,1,0.8164881000499495,0.023690198762726652,9938,480,25.896219627249675,2.00648675077948,chronos_bolt_small,9938,1,0.1835118999500505,external_locked,1.1239344392123676,32.593431192233595,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T9,0.0,0
auto_arima,2048,0.33782303038933836,0.7353970802602956,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.5600858369098712,0,0,0.8400496111992503,0.01549065317022859,9938,480,0.35366342191148725,0.7698795655489478,chronos_bolt_small,9938,0,0.15995038880074972,external_locked,1.046889614076477,0.4794766712870048,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T10,0.0,0
seasonal_naive_48,2048,22.515923566878982,1.4017695605838183,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.46284501061571126,0,0,0.5856363630034676,0.11923762760220036,9938,480,19.26915454257066,1.1996360804712507,chronos_bolt_small,9938,0,0.4143636369965324,external_locked,0.8558012059924921,22.931412719026255,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T11,0.0,0
auto_ets,2048,5.108935054180408,0.7603996359709243,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.6509635974304069,0,0,0.8152284460187529,0.01779499692862302,9938,480,4.494800390982781,0.6689935465647795,chronos_bolt_small,9938,0,0.18477155398124714,external_locked,0.8797920394983316,6.887831456580877,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T12,0.0,0
naive,2048,119.90021231422506,0.7803145808531985,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.7770700636942676,0,0,0.778664910806677,0.06593166261884904,9938,480,26.455032332434524,0.17217023279192584,chronos_bolt_small,9938,0,0.22133508919332295,external_locked,0.22064208079217604,37.140188381730525,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T13,0.0,0
auto_arima,2048,63.202946674938836,0.3693378914532562,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.7339667458432304,0,0,0.9232846566363482,0.006187399060919108,9938,480,47.94488810813342,0.2801746565851462,chronos_bolt_small,9938,0,0.0767153433636518,external_locked,0.758586278496153,69.10577787919684,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T14,0.0,0
auto_arima,2048,21.613702582534486,0.606700423369372,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.6963906581740976,0,0,0.7815619534807798,0.045540723612674326,9938,480,16.832808105808915,0.47249987665427207,chronos_bolt_small,9938,0,0.21843804651922022,external_locked,0.7788026156800328,22.24662438280722,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T15,0.0,0
naive,2048,1.827542322719375,0.9447714757595295,rolling_pre_origin,48,512,kdd_cup_2018_with_missing/H/medium,Nature,0.7478813559322034,0,0,0.7055628854556119,0.08779820025928756,9938,480,0.45726594933450726,0.23638950540117337,chronos_bolt_small,9938,0,0.29443711454438815,external_locked,0.2502081312425352,0.5794441047119302,external_v1_chronos_kdd_cup_2018_h_medium_1784423353,T16,0.3333333333333333,0
