baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
auto_ets,469,1732.6897791110578,1.2097765897437633,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,0.7777777777777778,0,0,0.525764106253366,0.24180536626192478,469,18,757.4740125868055,0.5288738577524988,chronos_bolt_small,469,0,0.47423589374663405,external_locked,0.4371665497879378,908.6211235549246,external_v1_chronos_m4_monthly_m_short_1783828971,0,1.0,0
auto_ets,469,324.83998412387206,0.7088046487003047,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,0.7222222222222222,0,1,0.7600650432699131,0.06287273332882236,469,18,354.21384684244794,0.7728987610718644,chronos_bolt_small,469,1,0.23993495673008688,external_locked,1.0904256377114387,389.04588703334827,external_v1_chronos_m4_monthly_m_short_1783828971,1,0.0,0
auto_arima,469,206.94227141852642,0.4807182339839772,rolling_pre_origin,18,469,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.5893692490298716,0.09198475413709276,469,18,155.81032986111111,0.3619408741088594,chronos_bolt_small,469,0,0.4106307509701284,external_locked,0.7529168825348146,180.92595116026445,external_v1_chronos_m4_monthly_m_short_1783828971,2,0.0,0
naive,82,148.83333333333334,0.8820569805846169,rolling_pre_origin,18,82,m4_monthly/M/short,Econ/Fin,0.8333333333333334,0,1,0.9191903573495396,0.0054360075247412935,82,18,166.39822048611111,0.98615483943986,chronos_bolt_small,82,1,0.08080964265046042,external_locked,1.1180171589212318,186.4496732543405,external_v1_chronos_m4_monthly_m_short_1783828971,3,0.0,0
auto_ets,112,59.98024784935347,0.4576415014479856,rolling_pre_origin,18,112,m4_monthly/M/short,Econ/Fin,0.9444444444444444,0,0,0.914096993262616,0.009789312699962466,112,18,57.41064453125,0.4380357618455729,chronos_bolt_small,112,0,0.08590300673738399,external_locked,0.9571591747243484,69.53595754948675,external_v1_chronos_m4_monthly_m_short_1783828971,4,0.3333333333333333,0
auto_arima,666,693.9659851881394,0.8687764741078063,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.17029443359375696,0.4771927181049166,666,18,183.65294053819446,0.22991523726778496,chronos_bolt_small,666,0,0.829705566406243,external_locked,0.26464256816334375,208.38508560432768,external_v1_chronos_m4_monthly_m_short_1783828971,5,0.0,0
naive,112,129.66666666666666,1.161267784552835,rolling_pre_origin,18,112,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.5378631224115448,0.1445451505312976,112,18,74.78784857855902,0.6697844670716926,chronos_bolt_small,112,0,0.46213687758845523,external_locked,0.5767700404516076,90.74564088593894,external_v1_chronos_m4_monthly_m_short_1783828971,6,0.3333333333333333,0
auto_ets,112,174.83664870741495,1.1540372851974507,rolling_pre_origin,18,112,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.6819638570149852,0.04429599918794678,112,18,45.411376953125,0.2997450623968627,chronos_bolt_small,112,0,0.3180361429850148,external_locked,0.25973602953874747,51.55464875920436,external_v1_chronos_m4_monthly_m_short_1783828971,7,0.6666666666666666,0
auto_ets,822,196.68441196414733,0.255018633885272,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.7222222222222222,0,1,0.08760054393482009,0.866594829850001,822,18,277.7288411458333,0.3600998622730747,chronos_bolt_small,822,0,0.9123994560651799,external_locked,1.4120531381839136,316.0736004254672,external_v1_chronos_m4_monthly_m_short_1783828971,8,0.3333333333333333,0
auto_arima,366,639.5214698916384,0.7902615990422907,rolling_pre_origin,18,366,m4_monthly/M/short,Econ/Fin,0.3888888888888889,0,1,0.7572171118951639,0.1005049812549109,366,18,676.8882649739584,0.8364360351215724,chronos_bolt_small,366,1,0.2427828881048361,external_locked,1.058429305100031,790.2024833011338,external_v1_chronos_m4_monthly_m_short_1783828971,9,0.0,0
naive,618,438.22222222222223,0.7738014103951095,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.7777777777777778,0,0,0.0,1.3831395161501552,618,18,164.29779730902777,0.29011278031004556,chronos_bolt_small,618,0,1.1159442120787946,external_locked,0.3749189086666446,207.45987538736787,external_v1_chronos_m4_monthly_m_short_1783828971,10,1.0,0
auto_ets,918,20.3715457156717,0.2943245081756456,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.9444444444444444,0,0,0.43680426246766624,0.26712044449272393,918,18,21.061537000868057,0.30429338086185864,chronos_bolt_small,918,0,0.5631957375323338,external_locked,1.0338703451778093,25.828541098592556,external_v1_chronos_m4_monthly_m_short_1783828971,11,0.0,0
naive,918,14.205552842881945,0.19731931717259532,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.0,1.1004610253057667,918,18,8.234849717881945,0.11438449043999013,chronos_bolt_small,918,0,1.1142586537276569,external_locked,0.5796923082798321,10.591944340429587,external_v1_chronos_m4_monthly_m_short_1783828971,12,0.3333333333333333,0
auto_arima,726,94.97099428455896,0.5101081978925311,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.8888888888888888,0,0,0.013541421683921362,0.7984537803222095,726,18,47.53838433159722,0.2553381666138488,chronos_bolt_small,726,0,0.9864585783160786,external_locked,0.5005568772835923,56.31977700581993,external_v1_chronos_m4_monthly_m_short_1783828971,13,1.0,0
auto_arima,726,3.2516426870921955,0.05324271746139787,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.9444444444444444,1,1,0.0,2.4463837990568496,726,18,21.24130588107639,0.34780723356434795,chronos_bolt_small,726,0,1.6090144019152974,external_locked,6.532484631657067,26.34256181611687,external_v1_chronos_m4_monthly_m_short_1783828971,14,0.6666666666666666,0
naive,726,332.3888888888889,0.6369381647159413,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.7777777777777778,0,0,0.0,1.5650082599006139,726,18,184.80018446180554,0.35412221727308324,chronos_bolt_small,726,0,1.138366833479978,external_locked,0.5559758182036586,231.94364365641871,external_v1_chronos_m4_monthly_m_short_1783828971,15,1.0,0
