baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
naive,2048,1.0046531111001968,0.8348484683189041,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6875,0,1,0.9812518076147688,6.229408159137978e-05,139296,48,1.2144352681934834,1.0091736265202,timesfm_2_5,139296,1,0.018748192385231194,external_locked,1.208810538457742,2.6675511484704986,external_v1_timesfm_electricity_15t_short_1784618598,MT_001,0.0,0
naive,2048,4.86012327671051,0.8096697336347541,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.8541666666666666,0,0,0.47714230388761825,0.26912311332814176,139296,48,0.9991891384124756,0.16645939979052035,timesfm_2_5,139296,0,0.5228576961123818,external_locked,0.20558925803391426,1.3087338203925332,external_v1_timesfm_electricity_15t_short_1784618598,MT_002,0.0,0
naive,2048,0.05430060997605324,0.22480621338557275,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9375,0,0,0.9698815034832402,0.00013569949042337327,139296,48,0.05639688049753507,0.23348483851287713,timesfm_2_5,139296,0,0.030118496516759786,external_locked,1.0386049166182054,0.21695457547607194,external_v1_timesfm_electricity_15t_short_1784618598,MT_003,0.0,0
naive,2048,43.23339859644572,0.7329322887170017,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9375,0,0,0.7061308057169284,0.07588143281018718,139296,48,11.272628943125406,0.1911039612745517,timesfm_2_5,139296,0,0.2938691942830716,external_locked,0.2607389034655232,14.666459495737532,external_v1_timesfm_electricity_15t_short_1784618598,MT_004,0.0,0
auto_ets,2048,12.319406709638665,0.4419468135331939,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.7291666666666666,0,0,0.8228301386045358,0.022411871172069515,139296,48,9.094122568766275,0.3262428610301512,timesfm_2_5,139296,0,0.17716986139546415,external_locked,0.7381948484296995,13.507793107478498,external_v1_timesfm_electricity_15t_short_1784618598,MT_005,0.0,0
auto_arima,2048,78.62043833703677,0.7227146735340568,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9375,0,0,0.5636995889444023,0.19085456130182923,139296,48,15.72711181640625,0.14457073405393642,timesfm_2_5,139296,0,0.43630041105559775,external_locked,0.200038465176011,22.11104443739087,external_v1_timesfm_electricity_15t_short_1784618598,MT_006,0.0,0
auto_arima,2048,0.9373788149141339,0.4761234656043189,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.875,0,0,0.7717292798206705,0.04118178976901294,139296,48,0.5676063845554987,0.2883047009532186,timesfm_2_5,139296,0,0.22827072017932942,external_locked,0.6055250828416548,0.7987792184844316,external_v1_timesfm_electricity_15t_short_1784618598,MT_007,0.0,0
auto_ets,2048,66.64559937679611,0.6266577995920016,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.5625,0,0,0.7508409673925459,0.046112379789192484,139296,48,41.5236120223999,0.3904398127467187,timesfm_2_5,139296,0,0.2491590326074541,external_locked,0.6230510702985212,56.29541347528253,external_v1_timesfm_electricity_15t_short_1784618598,MT_008,0.0,0
auto_arima,2048,10.958328806344007,0.5145838915110634,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.7916666666666666,0,0,0.5656340800993693,0.17577833250294517,139296,48,8.747061014175415,0.41074663623465235,timesfm_2_5,139296,0,0.43436591990063067,external_locked,0.7982112207758139,12.582110815078915,external_v1_timesfm_electricity_15t_short_1784618598,MT_009,0.0,0
auto_arima,2048,16.101560819225654,0.491869285501994,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6666666666666666,0,0,0.8101606182105086,0.02281297105788241,139296,48,16.2213237285614,0.49552779397244473,timesfm_2_5,139296,0,0.18983938178949142,external_locked,1.0074379689447088,25.936158091791544,external_v1_timesfm_electricity_15t_short_1784618598,MT_010,0.3333333333333333,0
auto_arima,2048,7.879488864922105,0.43547200601500863,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.875,0,0,0.7886044577883875,0.041704500706233584,139296,48,3.5857284466425576,0.1981707679841936,timesfm_2_5,139296,0,0.21139554221161247,external_locked,0.4550711991744848,5.601847592409094,external_v1_timesfm_electricity_15t_short_1784618598,MT_011,0.3333333333333333,0
naive,2048,38.785460472106934,0.5833333207829707,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.625,0,0,0.8613300436826334,0.013015075269943284,139296,48,31.839469114939373,0.47886561161601904,timesfm_2_5,139296,0,0.13866995631736662,external_locked,0.8209124947178678,50.7410330015966,external_v1_timesfm_electricity_15t_short_1784618598,MT_012,0.3333333333333333,0
naive,2048,39.50732505321503,0.6723334007791452,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6458333333333334,0,0,0.6085654410226636,0.1418405165682262,139296,48,25.0203941265742,0.4257956378796958,timesfm_2_5,139296,0,0.39143455897733637,external_locked,0.6333102555759456,37.40244714734518,external_v1_timesfm_electricity_15t_short_1784618598,MT_013,0.6666666666666666,0
