baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
auto_arima,2048,536.3249535283298,0.9483659377472486,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7708333333333334,0,0,0.1399275716422721,0.6681900779532307,16560,48,213.23199971516928,0.3770511963637652,timesfm_2_5,16560,0,0.8600724283577279,external_locked,0.397579859583963,270.8916208313781,external_v1_timesfm_m_dense_h_short_1784663333,0,0.6666666666666666,0
auto_ets,2048,352.96076564877785,0.558251878218328,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8125,0,0,0.23441277168779384,0.7574887236394258,16560,48,249.97606150309244,0.3953686058766765,timesfm_2_5,16560,0,0.7655872283122062,external_locked,0.708226199145988,364.05988587492624,external_v1_timesfm_m_dense_h_short_1784663333,1,0.3333333333333333,0
auto_ets,2048,20.675380637918746,0.7208976907841221,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7291666666666666,0,0,0.5136226096555843,0.3154974727985686,16560,48,14.300354023774466,0.49861680293457417,timesfm_2_5,16560,0,0.4863773903444158,external_locked,0.6916609795104259,17.838539997039152,external_v1_timesfm_m_dense_h_short_1784663333,2,0.6666666666666666,0
auto_arima,2048,80.82123299760383,0.7785954969560431,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7916666666666666,0,0,0.10685498275771022,0.8022832067416545,16560,48,27.380260467529297,0.26376914475103236,timesfm_2_5,16560,0,0.8931450172422898,external_locked,0.3387755847320558,36.74667093274542,external_v1_timesfm_m_dense_h_short_1784663333,3,0.3333333333333333,0
auto_ets,2048,26.23935751409465,0.7552494618681034,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7708333333333334,0,0,0.2226680561152823,0.667062633719486,16560,48,13.482905864715576,0.3880795249378682,timesfm_2_5,16560,0,0.7773319438847177,external_locked,0.5138428354228044,17.418652233957335,external_v1_timesfm_m_dense_h_short_1784663333,4,0.3333333333333333,0
seasonal_naive_48,2048,102.30135909716289,1.0061794034464733,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8333333333333334,0,0,0.21977394804778694,0.6672537059818522,16560,48,43.31951880455017,0.42606674997301547,timesfm_2_5,16560,0,0.7802260519522131,external_locked,0.4234500810825604,58.4669399316524,external_v1_timesfm_m_dense_h_short_1784663333,5,0.6666666666666666,0
auto_ets,2048,65.931463050359,0.6882418758740895,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7708333333333334,0,0,0.21737955904680828,0.6821464793539598,16560,48,35.17787583669027,0.3672129531937891,timesfm_2_5,16560,0,0.7826204409531917,external_locked,0.5335521799329795,50.537817530751404,external_v1_timesfm_m_dense_h_short_1784663333,6,0.6666666666666666,0
auto_ets,2048,101.82613751140661,0.8092640042202871,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7291666666666666,0,0,0.15120604630019874,0.8539961977471269,16560,48,29.487544377644856,0.2343524837618742,timesfm_2_5,16560,0,0.8487939536998013,external_locked,0.2895871835887064,37.557568260199865,external_v1_timesfm_m_dense_h_short_1784663333,7,0.6666666666666666,0
auto_arima,2048,107.82036445143179,1.010560234911398,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7916666666666666,0,0,0.8153591595519447,0.03911610980156446,16560,48,85.64991068840027,0.8027648051996605,timesfm_2_5,16560,0,0.18464084044805532,external_locked,0.7943760079477463,116.76818434720073,external_v1_timesfm_m_dense_h_short_1784663333,8,0.0,0
auto_arima,2048,42.77786472020529,0.8334458254208803,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7708333333333334,0,0,0.2464696344104932,0.6322323894752157,16560,48,17.192147374153137,0.3349564909966296,timesfm_2_5,16560,0,0.7535303655895068,external_locked,0.40189353738435574,22.4848708752579,external_v1_timesfm_m_dense_h_short_1784663333,9,0.6666666666666666,0
